bootstrap_B,bootstrap_unit,ci_high,ci_low,cohort,condition_a,condition_b,dataset,effect,effect_sign_definition,estimand,evidence_tier,experiment_id,figure_target,manuscript_use,mean_a,mean_b,metric,model,n_families,n_files,n_seeds,notes,p_adjusted,p_raw,protocol,recompute_allowed,relative_effect,result_family_id,result_id,section_role,status,table_target,unit
,,,,90/10,,,LMD,,,known contaminated test-file rate,SECONDARY,EXP_LMD_CENSUS,Fig1,not_reported,,,test-file contamination,not_applicable,,,1000,Only filled where formally present in the selected source.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_90_10_test_file_contamination,prevalence,MISSING_NOT_REPORTED,Table 1,rate
10000,family,-0.098963933267461,-0.13244426636038353,100 receiver families,family-exposed,clean,LMD,-0.11531665895895968,family-exposed - clean,family-exposed minus clean,FORMAL,EXP_CONFIRMATORY_LEGACY,Fig2,main,,,receiver NLL,Transformer-L,100,,3,Legacy estimand is distinct from Phase-2 same-family minus unrelated.,,0.0,legacy clean-to-family,NO,0.1361730655515673,RF_CONFIRMATORY_LEGACY_PRIMARY,lmd_transformer_l_legacy_confirmatory,legacy_confirmatory,FORMAL,Table 2,NLL
10000,family,-0.09207913236010917,-0.13945789815154971,50 final normalized structurally-nonexact families,normalized structurally-nonexact,corresponding control,LMD,-0.1148488750406808,condition_a - condition_b,normalized nonexact treated delta minus corresponding control delta,ROBUSTNESS,EXP_STRUCTURAL_ROBUSTNESS,Fig7,main,,,receiver NLL,Transformer-L,50,,,FINAL normalized only; old 95-family classification is HISTORICAL_SUPERSEDED and excluded.,,,normalized metadata-free structural robustness,NO,0.13470676014523217,RF_STRUCTURAL_NORMALIZED_50,lmd_structurally_nonexact_normalized,structural_robustness,FORMAL,Table 2,NLL
,,,,100 receiver families,clean,,LMD,,,condition mean receiver NLL,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.7976871434061783,,receiver NLL,Transformer-L,100,,3,Condition mean is frozen; downstream must not recompute contrasts.,,,Phase-2 controlled three-condition,NO,,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_clean_nll,phase2_condition_mean,FORMAL,Table 2,NLL
,,,,100 receiver families,unrelated_donor,,LMD,,,condition mean receiver NLL,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.7909180608653185,,receiver NLL,Transformer-L,100,,3,Condition mean is frozen; downstream must not recompute contrasts.,,,Phase-2 controlled three-condition,NO,,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_unrelated_donor_nll,phase2_condition_mean,FORMAL,Table 2,NLL
,,,,100 receiver families,same_family_donor,,LMD,,,condition mean receiver NLL,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.5889248107735221,,receiver NLL,Transformer-L,100,,3,Condition mean is frozen; downstream must not recompute contrasts.,,,Phase-2 controlled three-condition,NO,,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_same_family_donor_nll,phase2_condition_mean,FORMAL,Table 2,NLL
10000,family,-0.1767065892135995,-0.2287191119389179,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.20199325009179617,same_family - unrelated,same-family minus unrelated,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.5889248107735221,0.7909180608653185,receiver NLL,Transformer-L,100,,3,Negative means lower receiver NLL under the family-specific condition; relative_effect is frozen as a positive reduction magnitude.,,0.00019998000199980003,Phase-2 controlled three-condition,NO,0.2553908680133082,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_same_family_donor_vs_unrelated_donor,phase2_contrast,PRIMARY,Table 2,NLL
10000,family,-0.18248821757317446,-0.23631201361368903,100 receiver families,same_family_donor,clean,LMD,-0.20876233263265614,same_family_donor - clean,same_family_donor minus clean,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.5889248107735221,0.7976871434061783,receiver NLL,Transformer-L,100,,3,Negative means lower receiver NLL under the family-specific condition; relative_effect is frozen as a positive reduction magnitude.,,0.00019998000199980003,Phase-2 controlled three-condition,NO,0.261709536574987,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_same_family_donor_vs_clean,phase2_contrast,FORMAL,Table 2,NLL
10000,family,-0.0022861338108883154,-0.012749886581906402,100 receiver families,unrelated_donor,clean,LMD,-0.0067690825408599845,unrelated_donor - clean,unrelated_donor minus clean,FORMAL,EXP_PHASE2_TRANSFORMER_L,Fig2,main,0.7909180608653185,0.7976871434061783,receiver NLL,Transformer-L,100,,3,Negative means lower receiver NLL under the family-specific condition; relative_effect is frozen as a positive reduction magnitude.,,0.000999900009999,Phase-2 controlled three-condition,NO,0.008485886474182776,RF_PHASE2_TRANSFORMER_L_PRIMARY,phase2_transformer_l_unrelated_donor_vs_clean,phase2_contrast,FORMAL,Table 2,NLL
,,-0.06633,-0.08954,100 receiver families,family-exposed,clean,LMD,-0.07759,family-exposed - clean,family-exposed minus clean,FORMAL,EXP_TRANSFORMER_SCALE,Fig3,main,,,receiver NLL,Transformer-S,100,,,Within tested Transformer family; not a universal scaling law.,,,frozen Transformer capacity study,NO,0.0857,RF_CAPACITY_SCALE,transformer_s_capacity,capacity,FORMAL,Table 3,NLL
,,-0.07293,-0.09882,100 receiver families,family-exposed,clean,LMD,-0.08571,family-exposed - clean,family-exposed minus clean,FORMAL,EXP_TRANSFORMER_SCALE,Fig3,main,,,receiver NLL,Transformer-M,100,,,Within tested Transformer family; not a universal scaling law.,,,frozen Transformer capacity study,NO,0.10400000000000001,RF_CAPACITY_SCALE,transformer_m_capacity,capacity,FORMAL,Table 3,NLL
,,-0.09911,-0.13265,100 receiver families,family-exposed,clean,LMD,-0.11532,family-exposed - clean,family-exposed minus clean,FORMAL,EXP_TRANSFORMER_SCALE,Fig3,main,,,receiver NLL,Transformer-L,100,,,Within tested Transformer family; not a universal scaling law.,,,frozen Transformer capacity study,NO,0.1362,RF_CAPACITY_SCALE,transformer_l_capacity,capacity,FORMAL,Table 3,NLL
10000,family,-0.03741185232414631,-0.12124262340418279,Transformer S/M/L,log parameter count,pooled tau,LMD,-0.07846546216393269,OLS slope,OLS slope of pooled tau against natural log parameter count for frozen Transformer S/M/L,SECONDARY,EXP_TRANSFORMER_SCALE,Fig3,main,,,capacity trend slope,Transformer-S/M/L,100,,,Capacity trend is distinct from 4/8/16 mechanism statistics.,,0.0,frozen Transformer capacity study,NO,,RF_CAPACITY_TREND,transformer_capacity_trend_slope,capacity_trend,FORMAL,Table 3,NLL per log-parameter
10000,family,-0.003997131860821095,-0.014357902925570645,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.009053031878224153,same_family - unrelated,same-family minus unrelated,FORMAL,EXP_CROSS_PARADIGM,Fig3,main,0.8391602505720784,0.8482132824503025,within-model evaluation objective,Conditional VAE,100,,3,Raw objectives are not comparable across paradigms.,,0.0008999100089991,Phase-2 within-model paradigm comparison,NO,,RF_CROSS_PARADIGM_FORMAL,cross_paradigm_conditional_vae,cross_paradigm,SMALL BUT RELIABLE,Table 3,model-specific objective
10000,family,8.729277129787328e-06,-1.775371296993512e-05,100 receiver families,same_family_donor,unrelated_donor,LMD,-4.3439277060874625e-06,same_family - unrelated,same-family minus unrelated,FORMAL,EXP_CROSS_PARADIGM,Fig3,main,0.015256896192058647,0.015261240119764737,within-model evaluation objective,Latent Diffusion,100,,3,Raw objectives are not comparable across paradigms.,,0.5184481551844815,Phase-2 within-model paradigm comparison,NO,,RF_CROSS_PARADIGM_FORMAL,cross_paradigm_latent_diffusion,cross_paradigm,NULL_COMPATIBLE,Table 3,model-specific objective
,,-0.026345,-0.037776,100 receiver families,family-exposed,clean,LMD,-0.031722,family-exposed - clean,family-exposed minus clean,SECONDARY,EXP_TCN_LEGACY,Fig3,supplementary,,,receiver NLL,TCN-384,100,,3,Not full replication.,,,legacy clean-to-family,NO,0.0253,RF_TCN_LEGACY,tcn_384_legacy,architecture_secondary,WEAK SAME-DIRECTION SUPPORT,Supplementary,NLL
,,0.003022,-0.000846,193 families,family-leak,clean-validation,LMD,0.001056,family-leak - clean-validation,family-disjoint clean-test drift,ROBUSTNESS,EXP_GENERALIZATION_CONTROL,Fig7,supplementary,,,clean-test drift,Transformer-L,193,,,Not the treated receiver-family effect.,,,family-disjoint clean-validation,NO,,RF_GENERALIZATION_CONTROL,lmd_clean_validation_generalization,generalization_control,GENERALIZATION_CONTROL,Supplementary,NLL
10000,family,-0.01845865859370724,-0.03926041579862225,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.028544026255266027,same_family - unrelated,same-family minus unrelated,FORMAL,EXP_MUSICAL_METRICS,Fig4,main,0.19408232601625386,0.22262635227151992,Pitch-class JSD,Transformer-L,100,,3,IOI is secondary/non-confirmatory; SI-long and duplicate aliases are excluded.,0.016798320167983202,0.00019998000199980003,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,musical_transformer_l_pitch_class_histogram_jsd_to_receiver,musical_property,FORMAL,Table 4,distance
10000,family,-0.01800675367258675,-0.03671316279044227,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.027211489578421188,same_family - unrelated,same-family minus unrelated,FORMAL,EXP_MUSICAL_METRICS,Fig4,main,0.4254911080319896,0.45270259761041076,Pitch-interval JSD,Transformer-L,100,,3,IOI is secondary/non-confirmatory; SI-long and duplicate aliases are excluded.,0.016798320167983202,0.00019998000199980003,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,musical_transformer_l_pitch_interval_jsd_to_receiver,musical_property,FORMAL,Table 4,distance
10000,family,-0.020065634842055646,-0.14686843092880714,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.07641030645921734,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,0.48895465346534656,0.5653649599245639,IOI Wasserstein,Transformer-L,100,,3,IOI is secondary/non-confirmatory; SI-long and duplicate aliases are excluded.,0.27877212278772123,0.0027997200279972004,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,musical_transformer_l_ioi_wasserstein,musical_property,SECONDARY_NONCONFIRMATORY,Supplementary,distance
,,0.381355,-0.226043,100 receiver families,same_family_donor,unrelated_donor,LMD,0.08099,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,19.7046,19.6237,Note density,Transformer-L,100,,3,Representative canonical surface null; no global surface shift claim.,1.0,,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,surface_null_note_density,surface_null,SECONDARY,Supplementary,metric-specific
,,0.128574,-0.01814,100 receiver families,same_family_donor,unrelated_donor,LMD,0.05386,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,3.5105,3.4567,Polyphony,Transformer-L,100,,3,Representative canonical surface null; no global surface shift claim.,1.0,,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,surface_null_polyphony,surface_null,SECONDARY,Supplementary,metric-specific
,,0.904667,-0.28935,100 receiver families,same_family_donor,unrelated_donor,LMD,0.288667,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,35.402,35.1133,Pitch range,Transformer-L,100,,3,Representative canonical surface null; no global surface shift claim.,1.0,,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,surface_null_pitch_range,surface_null,SECONDARY,Supplementary,metric-specific
,,0.002997,-0.001617,100 receiver families,same_family_donor,unrelated_donor,LMD,0.000863,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,0.9893,0.9885,Qualified-note ratio,Transformer-L,100,,3,Representative canonical surface null; no global surface shift claim.,1.0,,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,surface_null_qualified_note_ratio,surface_null,SECONDARY,Supplementary,metric-specific
,,0.007596,-0.008357,100 receiver families,same_family_donor,unrelated_donor,LMD,-0.000595,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_MUSICAL_METRICS,Fig4,supplementary,0.397,0.3976,Onset density,Transformer-L,100,,3,Representative canonical surface null; no global surface shift claim.,1.0,,canonical three-condition musical-property audit,NO,,RF_MUSICAL_METRICS_CANONICAL,surface_null_onset_density,surface_null,SECONDARY,Supplementary,metric-specific
,,0.0150688,0.00544779,100 receiver families,same_family_donor,unrelated_donor,LMD,0.00994841,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_GENERATION_COPYING,SUPPLEMENTARY,SUPPLEMENTARY,,,Normalized shared span,Transformer-L,100,,3,Do not describe as plagiarism or copyright detection.,,0.00019998000199980003,generation overlap/copying audit,NO,,RF_GENERATION_REPRODUCTION,generation_normalized_shared_span,generation_reproduction,SIGNIFICANT_INCREASE,SUPPLEMENTARY,metric-specific
,,0.02066667,-0.01866667,100 receiver families,same_family_donor,unrelated_donor,LMD,0.00066667,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_GENERATION_COPYING,SUPPLEMENTARY,SUPPLEMENTARY,,,Copy@tau,Transformer-L,100,,3,Do not describe as plagiarism or copyright detection.,,0.9409,generation overlap/copying audit,NO,,RF_GENERATION_REPRODUCTION,generation_copy_tau,generation_reproduction,NS,SUPPLEMENTARY,metric-specific
,,0.0,0.0,100 receiver families,same_family_donor,unrelated_donor,LMD,0.0,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_GENERATION_COPYING,SUPPLEMENTARY,SUPPLEMENTARY,,,Exact multi-bar extraction,Transformer-L,100,,3,Do not describe as plagiarism or copyright detection.,,1.0,generation overlap/copying audit,NO,,RF_GENERATION_REPRODUCTION,generation_exact_multi_bar_extraction,generation_reproduction,NO_INCREASE,SUPPLEMENTARY,metric-specific
10000,family,-0.17799892068747433,-0.22945942027255659,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.20273347064619884,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,4-event marginal_shared,Transformer-L,100,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.00019998000199980003,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_4_marginal_shared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,0.0702670739358291,-0.13226645015579247,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.03713484334626368,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,4-event marginal_nonshared,Transformer-L,35,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.44795520447955206,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_4_marginal_nonshared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,-0.02906741278695076,-0.22714473901599247,common paired family set,shared_common,nonshared_common,LMD,-0.11814232156611978,shared_common_mean - nonshared_common_mean,shared common-support effect minus nonshared common-support effect,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,main,-0.15527716491238347,-0.03713484334626368,4-event paired shared-minus-nonshared differential,Transformer-L,35,,3,Common-support means are materialized once from the formal per-family rows; downstream recomputation is prohibited.,,0.006399360063993601,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_4_paired_differential,token_localization_paired,FORMAL,Table 5,NLL
10000,family,-0.17937027017369567,-0.23102126932994585,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.20422999410316198,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,8-event marginal_shared,Transformer-L,99,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.00019998000199980003,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_8_marginal_shared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,-0.053133208235560385,-0.33193582659771076,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.1643787573863703,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,8-event marginal_nonshared,Transformer-L,38,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.00019998000199980003,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_8_marginal_nonshared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,0.17189718553720876,-0.11068657190331282,common paired family set,shared_common,nonshared_common,LMD,0.002675715575900835,shared_common_mean - nonshared_common_mean,shared common-support effect minus nonshared common-support effect,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,main,-0.1639016862656619,-0.16657740184156275,8-event paired shared-minus-nonshared differential,Transformer-L,37,,3,Common-support means are materialized once from the formal per-family rows; downstream recomputation is prohibited.,,0.9209079092090791,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_8_paired_differential,token_localization_paired,FORMAL,Table 5,NLL
10000,family,-0.1812059567752059,-0.2323711637531012,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.2058482178336367,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,16-event marginal_shared,Transformer-L,99,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.00019998000199980003,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_16_marginal_shared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,-0.07566064087410555,-0.33067826409180845,family-level mechanism audit,same_family_donor,unrelated_donor,LMD,-0.17241654105141366,same_family - unrelated,same-family minus unrelated,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,16-event marginal_nonshared,Transformer-L,38,,3,Marginal support; not interchangeable with the paired common-support differential.,,0.00019998000199980003,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_16_marginal_nonshared,token_localization_marginal,SECONDARY,Table 5 / Supplementary,NLL
10000,family,0.16461668233575952,-0.08951413270929275,common paired family set,shared_common,nonshared_common,LMD,0.006600894763864376,shared_common_mean - nonshared_common_mean,shared common-support effect minus nonshared common-support effect,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,main,-0.16823152813909426,-0.1748324229029586,16-event paired shared-minus-nonshared differential,Transformer-L,37,,3,Common-support means are materialized once from the formal per-family rows; downstream recomputation is prohibited.,,0.9821017898210179,Phase-2 token localization,NO,,RF_MECHANISM_4_8_16,token_localization_16_paired_differential,token_localization_paired,FORMAL,Table 5,NLL
,,0.578436,0.210862,100 families,,,LMD,0.409074,association coefficient; not a causal contrast,association between relatedness and family-specific effect,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,Spearman rho,Transformer-L,100,,,not causal mediation; p is null because no formal p was reported.,,,Phase-2 relatedness analysis,NO,,RF_RELATEDNESS,relatedness_spearman_rho,relatedness,ASSOCIATION_ONLY,Table 5 / Supplementary,association coefficient
,,0.041895,0.008931,100 families,,,LMD,0.027068,association coefficient; not a causal contrast,association between relatedness and family-specific effect,SECONDARY,EXP_PHASE2_MECHANISM,Fig8,supplementary,,,Robust Huber standardized coefficient,Transformer-L,100,,,not causal mediation; p is null because no formal p was reported.,,,Phase-2 relatedness analysis,NO,,RF_RELATEDNESS,relatedness_robust_huber,relatedness,ASSOCIATION_ONLY,Table 5 / Supplementary,association coefficient
,,,,"4,300-file frozen pool",S0,,LMD cached pool,0.0,not applicable; descriptive trade-off,split trade-off,ROBUSTNESS,EXP_MITIGATION,Fig6,main,177,0.0,mitigation summary,not_applicable,,4300,,"177 -> 161 -> 0; S2 is zero KNOWN overlap under adopted family definition, not zero all leakage.",,,S0,NO,,RF_FAMILY_AWARE_MITIGATION,mitigation_s0,mitigation,FORMAL,Table 6,files/tokens/families
,,,,"4,300-file frozen pool",S1,,LMD cached pool,0.0,not applicable; descriptive trade-off,split trade-off,ROBUSTNESS,EXP_MITIGATION,Fig6,main,161,0.008,mitigation summary,not_applicable,,4263,,"177 -> 161 -> 0; S2 is zero KNOWN overlap under adopted family definition, not zero all leakage.",,,S1,NO,,RF_FAMILY_AWARE_MITIGATION,mitigation_s1,mitigation,FORMAL,Table 6,files/tokens/families
,,,,"4,300-file frozen pool",S2,,LMD cached pool,0.2595,not applicable; descriptive trade-off,split trade-off,ROBUSTNESS,EXP_MITIGATION,Fig6,main,0,0.0,mitigation summary,not_applicable,,4300,,"177 -> 161 -> 0; S2 is zero KNOWN overlap under adopted family definition, not zero all leakage.",,,S2,NO,,RF_FAMILY_AWARE_MITIGATION,mitigation_s2,mitigation,FORMAL,Table 6,files/tokens/families
,,,,counterfactual,,,LMD cached pool,,,retention/token cost,SECONDARY,EXP_MITIGATION,Fig6,main,0.2284,,mitigation summary,not_applicable,,3300,,Counterfactual baseline; not the adopted mitigation.,,,delete-all multi-family baseline,NO,,RF_FAMILY_AWARE_MITIGATION,mitigation_delete_all_multifamily,mitigation_counterfactual,COUNTERFACTUAL,Table 6,files/tokens
10000,family,-0.05317508547482156,-0.08321508802978368,67 families,family-exposed,clean,PDMX reduced Tier-A,-0.06777620934471185,treated delta - control delta,tau = Delta_treated - Delta_control,REDUCED_EXTERNAL,EXP_PDMX_REDUCED_EXTERNAL,Fig7,supplementary,,,receiver NLL,Transformer-L,67,,3,67-family reduced cohort only; failed/incomplete full replication attempt excluded.,,,reduced external cohort,NO,0.11068005017981015,RF_PDMX_REDUCED_EXTERNAL,pdmx_reduced_external,external_reduced,REDUCED_EXTERNAL_EVIDENCE,Table 6,NLL
,,,,LMD full universe; frozen reference graph,full universe,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,178561,,full-universe files,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_SCOPE,imperfect_inference_full_universe_files,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,files
,,,,LMD full universe; frozen reference graph,frozen reference graph,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,140427,,reference families,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_SCOPE,imperfect_inference_full_universe_reference_families,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,families
,,,,LMD full universe; frozen reference graph,all frozen conditions,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,2900,,simulation runs,not_applicable,140427,178561,100,100 seeds per condition; run count is extracted from the formal per-run artifact. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_SCOPE,imperfect_inference_simulation_run_count,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,runs
,,5120.525,4932.375,LMD full universe; frozen reference graph,file-level baseline,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,5033.34,,residual known cross-split families,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_file_level_baseline_residual,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,known family count
