scale,family_index,nonshared_tokens,same_minus_clean_differential,same_minus_clean_nonshared,same_minus_clean_shared,same_minus_unrelated_differential,same_minus_unrelated_nonshared,same_minus_unrelated_shared,shared_tokens
4,21,8,-0.0673183985054493,0.018268994987010956,-0.04904940351843834,-0.11972949653863907,0.06904543936252594,-0.05068405717611313,1100
4,22,0,,,-0.3291773200035095,,,-0.33828863501548767,2535
4,23,0,,,-0.15436965227127075,,,-0.1628972291946411,639
4,24,0,,,-0.4956120252609253,,,-0.48308229446411133,10203
4,25,0,,,-0.11408474296331406,,,-0.10743176937103271,779
4,26,0,,,-0.15883895754814148,,,-0.16322782635688782,1238
4,27,0,,,-0.5738232135772705,,,-0.5575438737869263,12091
4,28,20,-0.09650261886417866,0.00825907476246357,-0.08824354410171509,-0.1319979690015316,0.05322139337658882,-0.07877657562494278,2540
4,29,0,,,-0.3452966809272766,,,-0.33443692326545715,20432
4,30,0,,,-0.13908889889717102,,,-0.13330216705799103,3028
4,31,0,,,-0.05682343244552612,,,-0.07812657207250595,166
4,32,0,,,-0.34429940581321716,,,-0.3428477644920349,15281
4,33,0,,,-0.43244320154190063,,,-0.41706159710884094,20977
4,34,37,-0.20752953737974167,0.14115653932094574,-0.06637299805879593,-0.07242858968675137,-0.011829325929284096,-0.08425791561603546,3822
4,35,0,,,-0.27292361855506897,,,-0.27476635575294495,8731
4,36,387,-0.11769231967628002,0.009420303627848625,-0.1082720160484314,-0.1300524491816759,0.024248721078038216,-0.1058037281036377,12827
4,37,25,-0.02688945084810257,-0.06640928983688354,-0.09329874068498611,-0.06270010024309158,-0.034149788320064545,-0.09684988856315613,3205
4,38,82,0.0810622125864029,-0.1387730985879898,-0.057710886001586914,0.010281488299369812,-0.07453832030296326,-0.06425683200359344,772
4,39,0,,,-0.6911243200302124,,,-0.6331881880760193,1558
4,40,0,,,-0.24002140760421753,,,-0.24169430136680603,3893
4,41,0,,,-0.1717456430196762,,,-0.1692695915699005,3803
4,42,0,,,-0.21394938230514526,,,-0.20476047694683075,3303
4,43,0,,,-0.11726494133472443,,,-0.11173422634601593,3188
4,44,31,-0.003795747412368655,0.006374553311616182,0.002578805899247527,0.038047572830691934,-0.0390547513961792,-0.0010071785654872656,1758
4,45,0,,,-0.11893198639154434,,,-0.12657730281352997,463
4,46,86,-0.35070767253637314,0.06698255985975266,-0.2837251126766205,-0.36293358355760574,0.08885569125413895,-0.2740778923034668,5374
4,47,1,-0.9618031084537506,0.7083333134651184,-0.2534697949886322,-1.4760704338550568,1.2291666269302368,-0.24690380692481995,7308
4,48,0,,,-0.11264802515506744,,,-0.10753738880157471,242
4,49,0,,,-0.2630578875541687,,,-0.23215262591838837,1779
4,50,0,,,-0.34107962250709534,,,-0.3386487662792206,10236
4,51,11,-0.5514540448784828,0.12497780472040176,-0.42647624015808105,-0.11170202866196632,0.008530128747224808,-0.10317189991474152,50
4,52,0,,,-0.2633392810821533,,,-0.2591962516307831,3169
4,53,0,,,-0.17426541447639465,,,-0.18334437906742096,467
4,54,0,,,-0.11684366315603256,,,-0.10893811285495758,6286
4,55,0,,,-0.4711533784866333,,,-0.4510691463947296,3294
4,56,0,,,-0.16546247899532318,,,-0.18563856184482574,1084
4,57,0,,,-0.13519546389579773,,,-0.1009838804602623,336
4,58,0,,,-0.32707908749580383,,,-0.3194928765296936,8479
4,59,8,0.10765624791383743,-0.207275390625,-0.09961914271116257,-0.017299063503742218,-0.0679931566119194,-0.08529222011566162,977
4,60,0,,,-0.19787399470806122,,,-0.19421358406543732,5109
4,61,0,,,-0.25217264890670776,,,-0.24693690240383148,15697
4,62,0,,,-0.07861866056919098,,,-0.10799922049045563,1191
4,63,0,,,-0.08170974254608154,,,-0.08054981380701065,4197
4,64,177,-0.1011626347899437,-0.12219307571649551,-0.2233557105064392,-0.14963683485984802,-0.0733901709318161,-0.22302700579166412,12098
4,65,0,,,-0.24764268100261688,,,-0.24798381328582764,578
4,66,4,-0.03644386678934097,-0.0390625,-0.07550636678934097,0.03674161434173584,-0.109375,-0.07263338565826416,12991
4,67,0,,,-0.08739645779132843,,,-0.0879046618938446,477
4,68,0,,,-0.2020968496799469,,,-0.1897522658109665,1559
4,69,0,,,-0.2124708741903305,,,-0.2221761792898178,654
4,70,0,,,-0.29251909255981445,,,-0.30267974734306335,6166
4,71,80,-0.056035514920949936,-0.055350225418806076,-0.11138574033975601,-0.05457441508769989,-0.04588045924901962,-0.10045487433671951,865
4,72,0,,,-0.12214997410774231,,,-0.13535834848880768,6626
4,73,10,0.4225080907344818,-0.8654505610466003,-0.44294247031211853,0.419886976480484,-0.8496559262275696,-0.42976894974708557,29448
4,74,170,0.03232562122866511,-0.02799931913614273,0.004326302092522383,-0.04274500533938408,0.03950972855091095,-0.0032352767884731293,1046
4,75,0,,,-0.10442031919956207,,,-0.09823513776063919,1037
4,76,35,-0.10031608492136002,0.027740567922592163,-0.07257551699876785,-0.11225339025259018,0.05152757093310356,-0.06072581931948662,603
4,77,38,-0.03944119065999985,-0.09281330555677414,-0.132254496216774,0.0369100421667099,-0.18920297920703888,-0.15229293704032898,3115
4,78,0,,,-0.17504680156707764,,,-0.1526097059249878,1036
4,79,0,,,-0.2023799866437912,,,-0.19186578691005707,704
4,80,2,0.13108275830745697,-0.34375,-0.21266724169254303,-0.6480989009141922,0.4322916865348816,-0.2158072143793106,4929
4,81,15,0.08077728748321533,-0.453253835439682,-0.3724765479564667,0.01746964454650879,-0.3742714822292328,-0.356801837682724,48659
4,82,0,,,-0.24873510003089905,,,-0.22056129574775696,9069
4,83,0,,,-0.23540928959846497,,,-0.23051363229751587,8256
4,84,0,,,-0.5045927166938782,,,-0.48678719997406006,8558
4,85,0,,,-0.16652774810791016,,,-0.1566907912492752,1189
4,86,0,,,-0.44720321893692017,,,-0.4507581889629364,9124
4,87,7,-0.19581268355250359,0.1476048082113266,-0.04820787534117699,0.033866722136735916,-0.06712178140878677,-0.03325505927205086,1741
4,88,0,,,-0.09105978906154633,,,-0.10577377676963806,412
4,89,0,,,-0.10345371067523956,,,-0.12036629021167755,156
4,90,97,-0.17293506860733032,0.12973849475383759,-0.04319657385349274,-0.0878577921539545,0.05966363847255707,-0.028194153681397438,1577
4,91,0,,,-0.20129258930683136,,,-0.19156385958194733,5610
4,92,1,0.20517747104167938,-0.3040364682674408,-0.09885899722576141,0.2857040464878082,-0.3990885317325592,-0.11338448524475098,1814
4,93,0,,,-0.5390717387199402,,,-0.5205411911010742,12501
4,94,0,,,-0.18441013991832733,,,-0.15085795521736145,1026
4,95,0,,,-0.23398160934448242,,,-0.2305147647857666,1918
4,96,0,,,-0.589509129524231,,,-0.5704424977302551,14987
4,97,0,,,-0.19364352524280548,,,-0.19590486586093903,266
4,98,45,0.09867408126592636,-0.17984622716903687,-0.0811721459031105,0.13940706849098206,-0.21808111667633057,-0.07867404818534851,1267
4,99,0,,,-0.2084173560142517,,,-0.22322838008403778,725
8,0,34,-0.15837283432483673,0.06418713927268982,-0.09418569505214691,-0.11482315510511398,0.010881312191486359,-0.10394184291362762,474
8,1,247,-0.07250575721263885,-0.05514496564865112,-0.12765072286128998,-0.13834075932390988,0.0034356594551354647,-0.13490509986877441,5474
8,2,0,,,-0.09191273897886276,,,-0.0852636769413948,548
8,3,518,-0.26871062256395817,0.005749234929680824,-0.26296138763427734,-0.2248939536511898,-0.044960591942071915,-0.2698545455932617,5241
8,4,0,,,-0.18316906690597534,,,-0.1743782013654709,4952
8,5,0,,,-0.3724088966846466,,,-0.3658013939857483,5203
8,6,8,0.13332393765449524,-0.39514079689979553,-0.2618168592453003,0.4645989090204239,-0.7052571773529053,-0.24065826833248138,1149
8,7,0,,,-0.07782568037509918,,,-0.083067387342453,377
8,8,7,0.37717682123184204,-0.5407628417015076,-0.16358602046966553,0.2475789189338684,-0.41038331389427185,-0.16280439496040344,9573
8,9,0,,,-0.18144184350967407,,,-0.17631083726882935,15674
8,10,215,-0.11434948444366455,-0.2713719308376312,-0.3857214152812958,-0.18202276527881622,-0.2458217889070511,-0.4278445541858673,3368
8,11,67,-0.24253537505865097,-0.030402906239032745,-0.2729382812976837,-0.2038789540529251,-0.04453231394290924,-0.24841126799583435,2424
8,12,1,0.8240804523229599,-1.0234375,-0.1993570476770401,2.5270883589982986,-2.7135417461395264,-0.18645338714122772,6948
8,13,0,,,-0.12896592915058136,,,-0.12039151042699814,251
8,14,41,-0.0998004823923111,-0.16045503318309784,-0.26025551557540894,-0.09504804015159607,-0.12653861939907074,-0.2215866595506668,1246
8,15,45,-0.16687531769275665,-0.13473843038082123,-0.3016137480735779,-0.14863111078739166,-0.1317700296640396,-0.2804011404514313,17032
8,16,0,,,-0.07690156251192093,,,-0.07370863854885101,1890
8,17,196,-0.19691578298807144,-0.06223659962415695,-0.2591523826122284,-0.24195193964987993,0.004078936763107777,-0.23787300288677216,10469
8,18,220,-0.08718195930123329,-0.01063523069024086,-0.09781718999147415,-0.07373986206948757,-0.022821204736828804,-0.09656106680631638,302
8,19,21,-0.27674854546785355,0.1072341725230217,-0.16951437294483185,-0.22161050140857697,0.0547836571931839,-0.16682684421539307,3072
8,20,0,,,-0.14093545079231262,,,-0.1299133598804474,533
8,21,36,0.03969481587409973,-0.08696844428777695,-0.047273628413677216,-0.014563597738742828,-0.03572917357087135,-0.05029277130961418,1072
8,22,0,,,-0.3291773200035095,,,-0.33828863501548767,2535
8,23,0,,,-0.15436965227127075,,,-0.1628972291946411,639
8,24,0,,,-0.4956120252609253,,,-0.48308229446411133,10203
8,25,0,,,-0.11408474296331406,,,-0.10743176937103271,779
8,26,0,,,-0.15883895754814148,,,-0.16322782635688782,1238
8,27,0,,,-0.5738232135772705,,,-0.5575438737869263,12091
8,28,219,-0.02695465087890625,-0.06284085661172867,-0.08979550749063492,-0.021129745990037918,-0.058423180133104324,-0.07955292612314224,2341
8,29,137,-0.2767874673008919,-0.07036512345075607,-0.34715259075164795,-0.3001413121819496,-0.036308132112026215,-0.33644944429397583,20295
8,30,0,,,-0.13908889889717102,,,-0.13330216705799103,3028
8,31,0,,,-0.05682343244552612,,,-0.07812657207250595,166
8,32,0,,,-0.34429940581321716,,,-0.3428477644920349,15281
8,33,0,,,-0.43244320154190063,,,-0.41706159710884094,20977
8,34,101,-0.11741957813501358,0.04996319115161896,-0.06745638698339462,-0.04871128499507904,-0.03612709045410156,-0.0848383754491806,3758
8,35,0,,,-0.27292361855506897,,,-0.27476635575294495,8731
8,36,4773,-0.13941103219985962,-0.015770480036735535,-0.15518151223659515,-0.1457127295434475,-0.008914712816476822,-0.15462744235992432,8441
8,37,170,-0.024840526282787323,-0.06955748051404953,-0.09439800679683685,-0.05245247855782509,-0.04667278751730919,-0.09912526607513428,3060
8,38,527,0.040133316069841385,-0.08086157590150833,-0.040728259831666946,0.011107012629508972,-0.06949696689844131,-0.05838995426893234,327
8,39,0,,,-0.6911243200302124,,,-0.6331881880760193,1558
8,40,0,,,-0.24002140760421753,,,-0.24169430136680603,3893
8,41,0,,,-0.1717456430196762,,,-0.1692695915699005,3803
8,42,0,,,-0.21394938230514526,,,-0.20476047694683075,3303
8,43,0,,,-0.11726494133472443,,,-0.11173422634601593,3188
8,44,556,-0.02072755410335958,0.01693025417625904,-0.003797299927100539,-0.01951492205262184,0.01178344339132309,-0.007731478661298752,1233
8,45,0,,,-0.11893198639154434,,,-0.12657730281352997,463
8,46,111,-0.33115728199481964,0.04622383415699005,-0.2849334478378296,-0.3212320879101753,0.046340204775333405,-0.2748918831348419,5349
8,47,3,-0.5184825658798218,0.2649315595626831,-0.25355100631713867,-0.45007771253585815,0.2031911164522171,-0.24688659608364105,7306
8,48,0,,,-0.11264802515506744,,,-0.10753738880157471,242
8,49,0,,,-0.2630578875541687,,,-0.23215262591838837,1779
8,50,0,,,-0.34107962250709534,,,-0.3386487662792206,10236
8,51,61,,-0.3270336985588074,,,-0.08302891254425049,,0
8,52,0,,,-0.2633392810821533,,,-0.2591962516307831,3169
8,53,0,,,-0.17426541447639465,,,-0.18334437906742096,467
8,54,0,,,-0.11684366315603256,,,-0.10893811285495758,6286
8,55,0,,,-0.4711533784866333,,,-0.4510691463947296,3294
8,56,0,,,-0.16546247899532318,,,-0.18563856184482574,1084
8,57,0,,,-0.13519546389579773,,,-0.1009838804602623,336
8,58,0,,,-0.32707908749580383,,,-0.3194928765296936,8479
8,59,8,0.10765624791383743,-0.207275390625,-0.09961914271116257,-0.017299063503742218,-0.0679931566119194,-0.08529222011566162,977
8,60,0,,,-0.19787399470806122,,,-0.19421358406543732,5109
8,61,0,,,-0.25217264890670776,,,-0.24693690240383148,15697
8,62,0,,,-0.07861866056919098,,,-0.10799922049045563,1191
8,63,0,,,-0.08170974254608154,,,-0.08054981380701065,4197
8,64,391,-0.087913379073143,-0.13678394258022308,-0.2246973216533661,-0.08113923668861389,-0.14231464266777039,-0.22345387935638428,11884
8,65,0,,,-0.24764268100261688,,,-0.24798381328582764,578
8,66,131,-0.007523894309997559,-0.06804709881544113,-0.07557099312543869,-0.029539480805397034,-0.04340299963951111,-0.07294248044490814,12864
8,67,0,,,-0.08739645779132843,,,-0.0879046618938446,477
8,68,0,,,-0.2020968496799469,,,-0.1897522658109665,1559
8,69,0,,,-0.2124708741903305,,,-0.2221761792898178,654
8,70,0,,,-0.29251909255981445,,,-0.30267974734306335,6166
8,71,693,-0.06035134941339493,-0.09054829925298691,-0.15089964866638184,-0.010815910995006561,-0.09295057505369186,-0.10376648604869843,252
8,72,0,,,-0.12214997410774231,,,-0.13535834848880768,6626
8,73,5639,0.4075689911842346,-0.7726359367370605,-0.3650669455528259,0.3972690999507904,-0.7511332631111145,-0.3538641631603241,23819
8,74,642,-0.01195706008002162,0.005451300647109747,-0.006505759432911873,-0.027980931103229523,0.015948690474033356,-0.012032240629196167,574
8,75,0,,,-0.10442031919956207,,,-0.09823513776063919,1037
8,76,69,-0.1075457725673914,0.028842361643910408,-0.07870341092348099,-0.1472090482711792,0.07672061026096344,-0.07048843801021576,569
8,77,79,-0.0047827064990997314,-0.12711629271507263,-0.13189899921417236,0.16648368537425995,-0.3150501251220703,-0.14856643974781036,3074
8,78,0,,,-0.17504680156707764,,,-0.1526097059249878,1036
8,79,0,,,-0.2023799866437912,,,-0.19186578691005707,704
8,80,6,0.0003876984119415283,-0.2131076455116272,-0.21271994709968567,-0.309236578643322,0.0933159813284874,-0.2159205973148346,4925
8,81,815,-0.1314198076725006,-0.24328216910362244,-0.37470197677612305,-0.1432281881570816,-0.21597729623317719,-0.3592054843902588,47859
8,82,0,,,-0.24873510003089905,,,-0.22056129574775696,9069
8,83,0,,,-0.23540928959846497,,,-0.23051363229751587,8256
8,84,0,,,-0.5045927166938782,,,-0.48678719997406006,8558
8,85,0,,,-0.16652774810791016,,,-0.1566907912492752,1189
8,86,0,,,-0.44720321893692017,,,-0.4507581889629364,9124
8,87,330,0.0076733119785785675,-0.053648415952920914,-0.045975103974342346,0.016760151833295822,-0.04698672890663147,-0.030226577073335648,1418
8,88,0,,,-0.09105978906154633,,,-0.10577377676963806,412
8,89,0,,,-0.10345371067523956,,,-0.12036629021167755,156
8,90,995,0.01714760810136795,-0.04013117402791977,-0.02298356592655182,0.0012051314115524292,-0.02359205111861229,-0.02238691970705986,679
8,91,0,,,-0.20129258930683136,,,-0.19156385958194733,5610
8,92,20,0.061502836644649506,-0.15979716181755066,-0.09829432517290115,0.026344962418079376,-0.13959655165672302,-0.11325158923864365,1795
8,93,0,,,-0.5390717387199402,,,-0.5205411911010742,12501
8,94,0,,,-0.18441013991832733,,,-0.15085795521736145,1026
8,95,0,,,-0.23398160934448242,,,-0.2305147647857666,1918
8,96,0,,,-0.589509129524231,,,-0.5704424977302551,14987
8,97,0,,,-0.19364352524280548,,,-0.19590486586093903,266
8,98,72,0.004997432231903076,-0.08927973359823227,-0.0842823013663292,0.025490596890449524,-0.10754726082086563,-0.08205666393041611,1240
8,99,0,,,-0.2084173560142517,,,-0.22322838008403778,725
16,0,102,-0.07384428195655346,-0.024568656459450722,-0.09841293841600418,-0.033059120178222656,-0.06983555108308792,-0.10289467126131058,406
16,1,911,-0.046889618039131165,-0.08509732782840729,-0.13198694586753845,-0.05091645568609238,-0.08612371236085892,-0.1370401680469513,4810
16,2,0,,,-0.09191273897886276,,,-0.0852636769413948,548
16,3,1008,-0.14906348288059235,-0.11581908166408539,-0.26488256454467773,-0.1339094340801239,-0.13915500044822693,-0.27306443452835083,4751
16,4,0,,,-0.18316906690597534,,,-0.1743782013654709,4952
16,5,0,,,-0.3724088966846466,,,-0.3658013939857483,5203
16,6,32,0.06145507097244263,-0.3224940896034241,-0.26103901863098145,0.08726958930492401,-0.3287266492843628,-0.24145705997943878,1125
16,7,0,,,-0.07782568037509918,,,-0.083067387342453,377
16,8,7,0.37717682123184204,-0.5407628417015076,-0.16358602046966553,0.2475789189338684,-0.41038331389427185,-0.16280439496040344,9573
16,9,0,,,-0.18144184350967407,,,-0.17631083726882935,15674
16,10,284,-0.12309855222702026,-0.265518456697464,-0.38861700892448425,-0.1751929521560669,-0.25561556220054626,-0.43080851435661316,3299
16,11,77,-0.17047760635614395,-0.10120692104101181,-0.27168452739715576,-0.1319984495639801,-0.1150093674659729,-0.247007817029953,2414
16,12,1,0.8240804523229599,-1.0234375,-0.1993570476770401,2.5270883589982986,-2.7135417461395264,-0.18645338714122772,6948
16,13,0,,,-0.12896592915058136,,,-0.12039151042699814,251
16,14,59,-0.12915481626987457,-0.13384224474430084,-0.2629970610141754,-0.11321134120225906,-0.1105373278260231,-0.22374866902828217,1228
16,15,141,-0.2779559399932623,-0.025513092055916786,-0.3034690320491791,-0.23881907388567924,-0.04316224530339241,-0.28198131918907166,16936
16,16,0,,,-0.07690156251192093,,,-0.07370863854885101,1890
16,17,229,-0.20390014350414276,-0.056011542677879333,-0.2599116861820221,-0.2311243093572557,-0.007264884654432535,-0.23838919401168823,10436
16,18,417,-0.07611727714538574,-0.045762889087200165,-0.12188016623258591,-0.07715547829866409,-0.04996318370103836,-0.12711866199970245,105
16,19,55,-0.09423583745956421,-0.07507526874542236,-0.16931110620498657,-0.031422197818756104,-0.1344587653875351,-0.1658809632062912,3038
16,20,0,,,-0.14093545079231262,,,-0.1299133598804474,533
16,21,49,0.03247720003128052,-0.07960428297519684,-0.04712708294391632,-0.0042253173887729645,-0.045781124383211136,-0.0500064417719841,1059
16,22,0,,,-0.3291773200035095,,,-0.33828863501548767,2535
16,23,0,,,-0.15436965227127075,,,-0.1628972291946411,639
16,24,0,,,-0.4956120252609253,,,-0.48308229446411133,10203
16,25,0,,,-0.11408474296331406,,,-0.10743176937103271,779
16,26,0,,,-0.15883895754814148,,,-0.16322782635688782,1238
16,27,0,,,-0.5738232135772705,,,-0.5575438737869263,12091
16,28,433,0.042145274579524994,-0.12250642478466034,-0.08036115020513535,0.01896386593580246,-0.09350164979696274,-0.07453778386116028,2127
16,29,585,-0.19202886521816254,-0.15876592695713043,-0.35079479217529297,-0.17010870575904846,-0.16919869184494019,-0.33930739760398865,19847
16,30,0,,,-0.13908889889717102,,,-0.13330216705799103,3028
16,31,0,,,-0.05682343244552612,,,-0.07812657207250595,166
16,32,0,,,-0.34429940581321716,,,-0.3428477644920349,15281
16,33,0,,,-0.43244320154190063,,,-0.41706159710884094,20977
16,34,209,-0.056476213969290257,-0.010965696536004543,-0.0674419105052948,-0.03434153273701668,-0.05108183994889259,-0.08542337268590927,3650
16,35,0,,,-0.27292361855506897,,,-0.27476635575294495,8731
16,36,7843,-0.22220548149198294,-0.014506884850561619,-0.23671236634254456,-0.2307782182469964,-0.0081920912489295,-0.2389703094959259,5371
16,37,487,-0.058234162628650665,-0.04363664984703064,-0.1018708124756813,-0.0757674053311348,-0.03202094882726669,-0.10778835415840149,2743
16,38,687,0.01197502389550209,-0.06783609837293625,-0.05586107447743416,0.003392733633518219,-0.06590749323368073,-0.0625147596001625,167
16,39,0,,,-0.6911243200302124,,,-0.6331881880760193,1558
16,40,0,,,-0.24002140760421753,,,-0.24169430136680603,3893
16,41,0,,,-0.1717456430196762,,,-0.1692695915699005,3803
16,42,0,,,-0.21394938230514526,,,-0.20476047694683075,3303
16,43,0,,,-0.11726494133472443,,,-0.11173422634601593,3188
16,44,628,-0.02093597035855055,0.01623130962252617,-0.00470466073602438,-0.016988153103739023,0.009358259849250317,-0.007629893254488707,1161
16,45,0,,,-0.11893198639154434,,,-0.12657730281352997,463
16,46,113,-0.3308693543076515,0.04582054167985916,-0.28504881262779236,-0.32037353515625,0.045381754636764526,-0.2749917805194855,5347
16,47,8,-0.06025843322277069,-0.1931457370519638,-0.2534041702747345,-0.2731665000319481,0.026165641844272614,-0.24700085818767548,7301
16,48,0,,,-0.11264802515506744,,,-0.10753738880157471,242
16,49,0,,,-0.2630578875541687,,,-0.23215262591838837,1779
16,50,0,,,-0.34107962250709534,,,-0.3386487662792206,10236
16,51,61,,-0.3270336985588074,,,-0.08302891254425049,,0
16,52,0,,,-0.2633392810821533,,,-0.2591962516307831,3169
16,53,0,,,-0.17426541447639465,,,-0.18334437906742096,467
16,54,0,,,-0.11684366315603256,,,-0.10893811285495758,6286
16,55,0,,,-0.4711533784866333,,,-0.4510691463947296,3294
16,56,0,,,-0.16546247899532318,,,-0.18563856184482574,1084
16,57,0,,,-0.13519546389579773,,,-0.1009838804602623,336
16,58,0,,,-0.32707908749580383,,,-0.3194928765296936,8479
16,59,20,0.0486936941742897,-0.14819850027561188,-0.09950480610132217,0.009998895227909088,-0.09494759142398834,-0.08494869619607925,965
16,60,0,,,-0.19787399470806122,,,-0.19421358406543732,5109
16,61,0,,,-0.25217264890670776,,,-0.24693690240383148,15697
16,62,0,,,-0.07861866056919098,,,-0.10799922049045563,1191
16,63,0,,,-0.08170974254608154,,,-0.08054981380701065,4197
16,64,1303,-0.06392155587673187,-0.1647607684135437,-0.22868232429027557,-0.05732932686805725,-0.16962553560733795,-0.2269548624753952,10972
16,65,0,,,-0.24764268100261688,,,-0.24798381328582764,578
16,66,212,-0.025642961263656616,-0.050270527601242065,-0.07591348886489868,-0.032908059656620026,-0.04027349501848221,-0.07318155467510223,12783
16,67,0,,,-0.08739645779132843,,,-0.0879046618938446,477
16,68,0,,,-0.2020968496799469,,,-0.1897522658109665,1559
16,69,0,,,-0.2124708741903305,,,-0.2221761792898178,654
16,70,0,,,-0.29251909255981445,,,-0.30267974734306335,6166
16,71,839,-0.008651427924633026,-0.10567156970500946,-0.11432299762964249,0.03560139238834381,-0.09982819855213165,-0.06422680616378784,106
16,72,0,,,-0.12214997410774231,,,-0.13535834848880768,6626
16,73,17668,0.12097561359405518,-0.491504043340683,-0.3705284297466278,0.11769542098045349,-0.47701677680015564,-0.35932135581970215,11790
16,74,897,-0.027062817011028528,0.006906634662300348,-0.02015618234872818,-0.025349583476781845,0.009390681982040405,-0.01595890149474144,319
16,75,0,,,-0.10442031919956207,,,-0.09823513776063919,1037
16,76,158,-0.10830738116055727,0.014412892051041126,-0.09389448910951614,-0.14145878702402115,0.05185896158218384,-0.08959982544183731,480
16,77,808,-0.018392957746982574,-0.11809966713190079,-0.13649262487888336,-0.0019502043724060059,-0.15128734707832336,-0.15323755145072937,2345
16,78,0,,,-0.17504680156707764,,,-0.1526097059249878,1036
16,79,0,,,-0.2023799866437912,,,-0.19186578691005707,704
16,80,17,-0.01013171672821045,-0.2026236206293106,-0.21275533735752106,-0.10924521833658218,-0.10667575150728226,-0.21592096984386444,4914
16,81,3313,-0.08102568984031677,-0.2969908118247986,-0.37801650166511536,-0.10251733660697937,-0.2612677812576294,-0.36378511786460876,45361
16,82,0,,,-0.24873510003089905,,,-0.22056129574775696,9069
16,83,0,,,-0.23540928959846497,,,-0.23051363229751587,8256
16,84,0,,,-0.5045927166938782,,,-0.48678719997406006,8558
16,85,0,,,-0.16652774810791016,,,-0.1566907912492752,1189
16,86,0,,,-0.44720321893692017,,,-0.4507581889629364,9124
16,87,1208,-0.03997239097952843,-0.03507528081536293,-0.07504767179489136,-0.029291700571775436,-0.024341754615306854,-0.05363345518708229,540
16,88,0,,,-0.09105978906154633,,,-0.10577377676963806,412
16,89,0,,,-0.10345371067523956,,,-0.12036629021167755,156
16,90,1658,-0.01004861667752266,-0.03307979926466942,-0.04312841594219208,0.006326558068394661,-0.023163700476288795,-0.016837142407894135,16
16,91,0,,,-0.20129258930683136,,,-0.19156385958194733,5610
16,92,32,0.08472193777561188,-0.18220026791095734,-0.09747833013534546,0.05748876929283142,-0.1700170934200287,-0.11252832412719727,1783
16,93,0,,,-0.5390717387199402,,,-0.5205411911010742,12501
16,94,0,,,-0.18441013991832733,,,-0.15085795521736145,1026
16,95,0,,,-0.23398160934448242,,,-0.2305147647857666,1918
16,96,0,,,-0.589509129524231,,,-0.5704424977302551,14987
16,97,0,,,-0.19364352524280548,,,-0.19590486586093903,266
16,98,222,-0.04731477424502373,-0.04524778202176094,-0.09256255626678467,-0.024562999606132507,-0.06304877251386642,-0.08761177211999893,1090
16,99,0,,,-0.2084173560142517,,,-0.22322838008403778,725
