model,seed,condition,cohort,nll,token_count,relation_stratum,family_id,family_order
transformer_l_legacy,0,clean,treated,0.8088438322845534,8558,structurally_nonexact,family_f60bd4cc83d02add,618
transformer_l_legacy,0,clean,treated,1.2026389837265015,61,structurally_nonexact,family_39f58e2fd604c61e,402
transformer_l_legacy,0,clean,treated,0.594537266010537,1918,structurally_nonexact,family_101bf32d18499c7d,686
transformer_l_legacy,0,clean,treated,1.1632541418075562,156,structurally_nonexact,family_e97b637c75aac2b5,637
transformer_l_legacy,0,clean,treated,1.1690072267043585,12995,structurally_nonexact,family_e2c30beb0d4abeae,477
transformer_l_legacy,0,clean,treated,0.9903701495384131,3028,structurally_nonexact,family_581cf690b70ed77f,269
transformer_l_legacy,0,clean,treated,1.0736053838551278,1789,structurally_nonexact,family_9ccd2f467361ebab,348
transformer_l_legacy,0,clean,treated,0.5156655255560727,8256,structurally_nonexact,family_6342008bae187399,615
transformer_l_legacy,0,clean,treated,1.0937050580978394,266,structurally_nonexact,family_8661140073b6a2ab,691
transformer_l_legacy,0,clean,treated,0.6813602414711443,1890,structurally_nonexact,family_1a8ff9e18d3eabea,137
transformer_l_legacy,0,clean,treated,0.7635424794671614,8479,structurally_nonexact,family_b324bd83d2be3825,438
transformer_l_legacy,0,clean,treated,0.7238434318016316,725,structurally_nonexact,family_23e85181dd747797,695
transformer_l_legacy,0,clean,treated,1.363637256298782,9580,structurally_nonexact,family_b3ba3218de08f591,66
transformer_l_legacy,0,clean,treated,0.5672765338072624,6949,structurally_nonexact,family_38ddaabf01adae92,106
transformer_l_legacy,0,clean,treated,0.7271112138001377,945,structurally_nonexact,family_5405158fe7a3977d,511
transformer_l_legacy,0,clean,treated,0.5745580792427063,336,structurally_nonexact,family_e4e4467ef74cc720,428
transformer_l_legacy,0,clean,treated,1.0651472247669989,1037,structurally_nonexact,family_4f1b63b3eef9f7d0,531
transformer_l_legacy,0,clean,treated,0.9959693499680223,522,structurally_nonexact,family_7a300c986fbfa9f2,165
transformer_l_legacy,0,clean,treated,1.1305043491380005,463,structurally_nonexact,family_6f0024d47bda9a44,359
transformer_l_legacy,0,clean,treated,0.5204510806639789,1191,structurally_nonexact,family_746d1e0c3274827f,466
transformer_l_legacy,0,clean,treated,0.9652148040898172,1084,structurally_nonexact,family_6a42731481dda124,419
transformer_l_legacy,0,clean,treated,1.4811307561392237,15697,structurally_nonexact,family_0ecded087f80d73b,461
transformer_l_legacy,0,clean,treated,0.7085826627296744,5721,structurally_nonexact,family_5facacfb4d33d062,5
transformer_l_legacy,0,clean,treated,0.6731958985328674,251,structurally_nonexact,family_5cc4efa05e4dc250,114
transformer_l_legacy,0,clean,treated,1.1210631651175262,17077,structurally_nonexact,family_4731a6d05dff34ce,132
transformer_l_legacy,0,clean,treated,0.9630981548584718,5610,structurally_nonexact,family_c3ae851031cec2bb,663
transformer_l_legacy,0,clean,treated,0.7907868714192392,48674,structurally_nonexact,family_30fbd9977a220042,589
transformer_l_legacy,0,clean,treated,0.7908898150827003,508,structurally_nonexact,family_e3c89d0945320ec5,3
transformer_l_legacy,0,clean,treated,1.2003018244144876,639,structurally_nonexact,family_f99e7467cfd91d72,230
transformer_l_legacy,0,clean,treated,1.061571104333266,3294,structurally_nonexact,family_0a0ff01b239a934a,415
transformer_l_legacy,0,clean,treated,0.502446174621582,166,structurally_nonexact,family_5ebcadebe538bd59,272
transformer_l_legacy,0,clean,treated,0.5502627135217749,533,structurally_nonexact,family_2fe71bb032cb85fe,184
transformer_l_legacy,0,clean,treated,0.8732322438800223,6626,structurally_nonexact,family_e0f7e5849dbe9388,513
transformer_l_legacy,0,clean,treated,0.8820556035372963,3859,structurally_nonexact,family_c3abd4306e03adf2,290
transformer_l_legacy,0,clean,treated,0.4619095477826936,1559,structurally_nonexact,family_83b27a32aa56f9dc,485
transformer_l_legacy,0,clean,treated,1.09953800917142,2535,structurally_nonexact,family_fa3341292470541d,226
transformer_l_legacy,0,clean,treated,0.5890160074634273,548,canonical_event_exact,family_15b8f6d235825863,7
transformer_l_legacy,0,clean,treated,0.8502619483534737,10236,structurally_nonexact,family_a95aeca85317a04d,401
transformer_l_legacy,0,clean,treated,0.5434599810315967,7309,structurally_nonexact,family_3dffb074803c8f80,376
transformer_l_legacy,0,clean,treated,0.8227383714554138,1026,structurally_nonexact,family_1cfa4116628ae42e,681
transformer_l_legacy,0,clean,treated,0.978791765423314,1238,structurally_nonexact,family_f53ae103dc0def58,261
transformer_l_legacy,0,clean,treated,0.5517719060113102,1287,structurally_nonexact,family_3db848c291e71542,123
transformer_l_legacy,0,clean,treated,0.9573755976610133,3583,structurally_nonexact,family_76f3986b08ecfc19,97
transformer_l_legacy,0,clean,treated,0.7570328240777462,13214,structurally_nonexact,family_121eefce620403f7,295
transformer_l_legacy,0,clean,treated,1.0395894166897812,20977,structurally_nonexact,family_8aff46e64d1c8360,286
transformer_l_legacy,0,clean,treated,0.8145725481537124,4952,structurally_nonexact,family_debbecc1e7f77f3e,20
transformer_l_legacy,0,clean,treated,0.44984327050626377,1779,structurally_nonexact,family_f19aa9a5e722eb61,379
transformer_l_legacy,0,clean,treated,0.8592892701632392,1815,structurally_nonexact,family_d0b38ee50d018148,664
transformer_l_legacy,0,clean,treated,0.6069509214991308,1036,structurally_nonexact,family_aad2d66dec95dc7a,569
transformer_l_legacy,0,clean,treated,0.7383588276538752,985,structurally_nonexact,family_59add5a121b9a616,451
transformer_l_legacy,0,clean,treated,1.1501463621635413,12091,structurally_nonexact,family_c2d4ffa1539bdafe,263
transformer_l_legacy,0,clean,treated,0.7864165578098676,1157,structurally_nonexact,family_58a5b18cf3751bf1,41
transformer_l_legacy,0,clean,treated,0.6877499933713656,638,structurally_nonexact,family_8f08581ca21b6c6f,539
transformer_l_legacy,0,clean,treated,0.7203243883921279,5203,structurally_nonexact,family_5d6a15b20dff7233,33
transformer_l_legacy,0,clean,treated,0.48092161948088463,1312,structurally_nonexact,family_eacebc389812585f,693
transformer_l_legacy,0,clean,treated,0.5225168158232547,578,structurally_nonexact,family_3bd7e5ca43f02666,476
transformer_l_legacy,0,clean,treated,0.5349820400106495,377,structurally_nonexact,family_da2cbb03fa208ffc,65
transformer_l_legacy,0,clean,treated,0.6484467224565041,15281,structurally_nonexact,family_5fe0b889b5279fed,275
transformer_l_legacy,0,clean,treated,0.6075629446120072,654,structurally_nonexact,family_58c32a6b58cc329f,505
transformer_l_legacy,0,clean,treated,1.113275377485917,4931,structurally_nonexact,family_d4c8efafc098f593,580
transformer_l_legacy,0,clean,treated,0.7200523813001684,6166,structurally_nonexact,family_853b6705e7d7e7a9,509
transformer_l_legacy,0,clean,treated,1.0616525785760793,1558,canonical_event_exact,family_7c104874587dddcc,324
transformer_l_legacy,0,clean,treated,1.1810484927079685,3893,structurally_nonexact,family_2eec85a0fe915e64,326
transformer_l_legacy,0,clean,treated,0.7827504730405077,1189,structurally_nonexact,family_08157e0ead630e5c,623
transformer_l_legacy,0,clean,treated,1.3274241017421249,12275,structurally_nonexact,family_67cf34a836b9cd6c,473
transformer_l_legacy,0,clean,treated,0.9153619403746376,3188,structurally_nonexact,family_a03ac5414952d229,344
transformer_l_legacy,0,clean,treated,1.274185727804135,5109,structurally_nonexact,family_4da27be0a15493fc,455
transformer_l_legacy,0,clean,control,1.5652763843536377,86,,family_8353c8bc6b1abe91,231
transformer_l_legacy,0,clean,control,0.7711819410324097,281,,family_a21b0655ee8718e3,44
transformer_l_legacy,0,clean,control,0.9221390225692345,1492,,family_828011733ff46fcc,135
transformer_l_legacy,0,clean,control,1.0804585969966392,92,,family_c352cf53fe360f50,89
transformer_l_legacy,0,clean,control,0.9480195641517639,543,,family_581b417d448220ce,278
transformer_l_legacy,0,clean,control,0.6899597729018194,4997,,family_c5e7a2f4ebdc9ce7,523
transformer_l_legacy,0,clean,control,1.2248086657656398,23970,,family_942d0bbb1f3057b7,117
transformer_l_legacy,0,clean,control,1.2916382359313185,1957,,family_e8f2414f825f028e,21
transformer_l_legacy,0,clean,control,1.3014277816488287,24928,,family_d9eece89cdccb42e,318
transformer_l_legacy,0,clean,control,1.1108912899219978,2226,,family_159334980be342ce,590
transformer_l_legacy,0,clean,control,0.6506197885302153,9706,,family_5cc3056db91c371f,475
transformer_l_legacy,0,clean,control,1.084191494746242,14644,,family_cac05bc962cb19ae,529
transformer_l_legacy,0,clean,control,1.0612378156455398,794,,family_91b28d898f74de65,458
transformer_l_legacy,0,clean,control,0.7010360234257591,2249,,family_0ed7b687c2bbe731,679
transformer_l_legacy,0,clean,control,0.6352542171645945,2076,,family_c09c42656e829799,75
transformer_l_legacy,0,clean,control,0.7298220951003688,8400,,family_5029829bbea32071,45
transformer_l_legacy,0,clean,control,0.7199070565733855,2361,,family_b524f58169d7a062,422
transformer_l_legacy,0,clean,control,0.6446641499819246,20104,,family_e449d968e1ca6e62,481
transformer_l_legacy,0,clean,control,0.9425405097704405,3217,,family_f176b8796acaf1a3,449
transformer_l_legacy,0,clean,control,1.567877267947336,13053,,family_2aacce96c1e48e02,43
transformer_l_legacy,0,clean,control,0.534926997744074,22913,,family_95e00157e6b24668,246
transformer_l_legacy,0,clean,control,1.2332114433460202,11280,,family_c83ce9a767947dac,169
transformer_l_legacy,0,clean,control,1.3943700415821019,18996,,family_c00a93f90020b6fe,255
transformer_l_legacy,0,clean,control,1.017111897468567,226,,family_4388b443af85145b,182
transformer_l_legacy,0,clean,control,0.6082898531998433,5102,,family_090556d6964926b6,696
transformer_l_legacy,0,clean,control,0.6576306816328732,997,,family_517a76fa41613984,435
transformer_l_legacy,0,clean,control,0.9603310227394104,331,,family_d5117873cfa5f4e7,403
transformer_l_legacy,0,clean,control,0.7174456477401883,5289,,family_5c4b107ad8b67511,39
transformer_l_legacy,0,clean,control,0.5994726370400061,2157,,family_6b39589c59910bc9,527
transformer_l_legacy,0,clean,control,1.1117202043533325,557,,family_09e71dae304bced8,407
transformer_l_legacy,0,clean,control,0.6868289987501461,7005,,family_7ab40688290292cb,699
transformer_l_legacy,0,clean,control,0.7366861575866636,3615,,family_c9287c1de390bb4b,287
transformer_l_legacy,0,clean,control,0.5670621085778002,3531,,family_b82550e1d139176a,133
transformer_l_legacy,0,clean,control,1.0708411247785206,4469,,family_5ead6639536180b8,16
transformer_l_legacy,0,clean,control,0.37034440304719507,3148,,family_c200a4f65bbc5209,270
transformer_l_legacy,0,clean,control,0.7718475676124589,6866,,family_104496edebed4f61,385
transformer_l_legacy,0,clean,control,1.0961865227319014,4592,,family_843833735eeb7063,519
transformer_l_legacy,0,clean,control,0.6614063550183114,940,,family_9c25f8a3328ce8da,494
transformer_l_legacy,0,clean,control,0.9026687356338191,11819,,family_8adb1a64e2eed3ab,400
transformer_l_legacy,0,clean,control,0.9754390746448481,638,,family_1f464d80218f494a,150
transformer_l_legacy,0,clean,control,0.7865256749731067,1566,,family_cb2f86c88344d124,572
transformer_l_legacy,0,clean,control,1.181501188578035,2465,,family_7d2361899b55eee8,522
transformer_l_legacy,0,clean,control,0.8295921391484148,2886,,family_056399865754201e,177
transformer_l_legacy,0,clean,control,1.1772636264835443,7537,,family_048732487ed12eba,266
transformer_l_legacy,0,clean,control,0.6748267412185669,266,,family_1d8665cf98427374,632
transformer_l_legacy,0,clean,control,0.7449501263851722,8124,,family_7b7a14e1daaa4e52,207
transformer_l_legacy,0,clean,control,0.49892142446655213,1980,,family_ace63736575276fd,76
transformer_l_legacy,0,clean,control,0.9777023196220398,381,,family_471c422daeefac7a,24
transformer_l_legacy,0,clean,control,0.9683498881991475,2354,,family_484de8ba061636e2,134
transformer_l_legacy,0,clean,control,0.38970686678580424,748,,family_a8edfe7c17d49498,142
transformer_l_legacy,0,clean,control,1.0473355447821173,3704,,family_fc41e434d5d7e595,413
transformer_l_legacy,0,clean,control,0.5073377979638429,1439,,family_309d1ff512e1e9a9,426
transformer_l_legacy,0,clean,control,0.821358098196346,10437,,family_d16673229b6e8db9,273
transformer_l_legacy,0,clean,control,0.7652428757665877,1146,,family_9e8b2eb6ec3ec445,96
transformer_l_legacy,0,clean,control,0.7802946895701267,11034,,family_50f05ec6e42283bd,153
transformer_l_legacy,0,clean,control,0.9402422927339978,373,,family_341df9602a2ccf1e,649
transformer_l_legacy,0,clean,control,0.9012336349979858,6341,,family_352e44896c06757b,543
transformer_l_legacy,0,clean,control,0.5268750413336977,407,,family_0b0978005887e1a2,474
transformer_l_legacy,0,clean,control,1.066729693108037,9756,,family_e0804d88b4e3c086,464
transformer_l_legacy,0,clean,control,1.3465372098669781,5497,,family_7136d870073b72bf,492
transformer_l_legacy,0,clean,control,0.9933652232110914,4898,,family_90e53f43974a85ff,305
transformer_l_legacy,0,clean,control,0.35051535466376654,8758,,family_ba0bab377b74f9bc,593
transformer_l_legacy,0,clean,control,0.7895285077426071,3385,,family_dd7fe974853169e3,340
transformer_l_legacy,0,clean,control,0.8339543713279393,14375,,family_89e820583b7bf692,521
transformer_l_legacy,0,clean,control,0.7508162549503752,5387,,family_c3c5b7b46ed5cca4,604
transformer_l_legacy,0,clean,control,1.0737095731990645,2595,,family_13478cc2fa596f00,676
transformer_l_legacy,0,clean,control,0.739242529245506,2122,,family_4b791b52cdbf0c94,342
transformer_l_legacy,0,clean,control,1.1242738610835916,1554,,family_24beda513cb73140,190
transformer_l_legacy,0,clean,control,0.968559004487969,2574,,family_bd2e09f5164640ac,355
transformer_l_legacy,0,clean,control,1.1949433148182567,14722,,family_d90c907b60f5db7e,227
transformer_l_legacy,0,clean,control,1.1419970989227295,608,,family_0a1d834f1fc5ec9d,397
transformer_l_legacy,0,clean,control,1.0510949726443684,619,,family_bd36f067059fa430,608
transformer_l_legacy,0,clean,control,0.8348782310940627,10380,,family_9d3263359149060b,174
transformer_l_legacy,0,clean,control,0.8302340507507324,96,,family_701911482f478840,164
transformer_l_legacy,0,clean,control,0.4051710645464998,1297,,family_a69d52c7adca6131,688
transformer_l_legacy,0,clean,control,0.9748881100692288,911,,family_0907d69883a983d5,125
transformer_l_legacy,0,clean,control,0.8114533914327622,10000,,family_6aa82ca2608dc1b1,23
transformer_l_legacy,0,clean,control,0.6606587363766591,7247,,family_0b7d7d5455b615a1,306
transformer_l_legacy,0,clean,control,0.47940786282221476,810,,family_6ff7124bfcd14a0c,545
transformer_l_legacy,0,clean,control,1.0809371594087522,2128,,family_b8051512c4e658bb,180
transformer_l_legacy,0,clean,control,0.8257339164794398,1907,,family_419159423badc2ef,391
transformer_l_legacy,0,clean,control,0.9123703874584796,7116,,family_330ff47988f3581a,291
transformer_l_legacy,0,clean,control,0.7731852382098539,6921,,family_c2708c9ff73ceb82,660
transformer_l_legacy,0,clean,control,0.9148635392799342,4344,,family_ddb1afd90e017414,484
transformer_l_legacy,0,clean,control,0.8145123085110133,4446,,family_354a6fa9839f5265,196
transformer_l_legacy,0,clean,control,0.41449659469276756,1647,,family_25637fe768f1ed97,602
transformer_l_legacy,0,clean,control,0.8115676877255611,1815,,family_c8d9a7933734de14,232
transformer_l_legacy,0,clean,control,0.7368592560516317,12979,,family_5dfcdbc50b497fa3,241
transformer_l_legacy,0,clean,control,1.241411283836617,2723,,family_cb79ab953eb3a23e,425
transformer_l_legacy,0,clean,control,0.7438883109716699,4096,,family_4cbe524347d5770f,442
transformer_l_legacy,0,clean,control,0.5851811225726992,4361,,family_584bf061d2625f25,495
transformer_l_legacy,0,clean,control,0.6527572274208069,251,,family_56890c17b9133ef4,506
transformer_l_legacy,0,clean,control,0.3215893325254773,2640,,family_205aeeeda178f7ca,644
transformer_l_legacy,0,clean,control,1.45034921169281,56,,family_3179470752a6d838,18
transformer_l_legacy,0,clean,control,0.9776752211722191,7232,,family_7659084f070baf14,130
transformer_l_legacy,0,clean,control,1.1706405341218344,16261,,family_2210ee0a2c3ccbc9,396
transformer_l_legacy,0,clean,control,0.5863557686169578,7863,,family_d20f6f896d965906,310
transformer_l_legacy,0,clean,control,1.0356693326067847,1228,,family_9ba17784e54ec105,163
transformer_l_legacy,0,clean,control,0.7285453117329034,2684,,family_28cc6a5379f62efc,84
transformer_l_legacy,0,clean,control,1.233314560769795,3596,,family_cd85f816dfda97e0,601
transformer_l_legacy,0,clean,control,0.5575469013506454,23809,,family_6c5d60bd118ca08d,493
transformer_l_legacy,0,clean,control,0.7755391521381716,9452,,family_a6b3f3bba1c3ea38,611
transformer_l_legacy,0,clean,control,0.9631170424384687,995,,family_46ccb6e3625b0d26,559
transformer_l_legacy,0,clean,control,0.5304770833307365,13925,,family_b6c76ee6e1fbdad4,617
transformer_l_legacy,0,clean,control,1.0381922390043816,8836,,family_eb5f13fb7b1698a7,433
transformer_l_legacy,0,clean,control,0.6077599765585481,417,,family_0928b40aaefe1e43,616
transformer_l_legacy,0,clean,control,1.6567596197128296,51,,family_e8cb312f6947fae2,578
transformer_l_legacy,0,clean,control,1.0136608544076315,3890,,family_50833a4ebce7122c,103
transformer_l_legacy,0,clean,control,1.3024628162384033,216,,family_e52a55fe95cda992,463
transformer_l_legacy,0,clean,control,1.6171270002786489,17522,,family_65e575b20c174fd7,479
transformer_l_legacy,0,clean,control,0.7509164295126486,9258,,family_c4cc5f62a0ab31c3,276
transformer_l_legacy,0,clean,control,1.2174741241209548,6370,,family_a6fc375b5cc488f5,95
transformer_l_legacy,0,clean,control,0.1103972387415588,1157,,family_6d128cd3979417a4,423
transformer_l_legacy,0,clean,control,0.3293077635927003,4638,,family_01bdfbf40b1dfff5,139
transformer_l_legacy,0,clean,control,0.8305143703481537,7458,,family_b55c602531d8b111,556
transformer_l_legacy,0,clean,control,0.7592168436775952,11061,,family_150827bde0e3f90f,689
transformer_l_legacy,0,clean,control,0.7080136878014757,10400,,family_41293800444fbe3e,108
transformer_l_legacy,0,clean,control,1.4596336885570886,14488,,family_0ffae0bc1065eadf,60
transformer_l_legacy,0,clean,control,0.4162366154101194,4656,,family_483585a89e5ae17f,34
transformer_l_legacy,0,clean,control,0.6155174210027683,815,,family_0c5e308d08929fa4,247
transformer_l_legacy,0,clean,control,0.5928238034248352,391,,family_07575db7931c72ea,300
transformer_l_legacy,0,clean,control,0.8348809480667114,191,,family_efb0835b02015240,528
transformer_l_legacy,0,clean,control,0.9635651852361552,3258,,family_94692368e418ed72,173
transformer_l_legacy,0,clean,control,0.532015085929916,252,,family_46e2de939a29fd34,429
transformer_l_legacy,0,clean,control,0.7382495470404945,746,,family_39754d1db81a7bf4,127
transformer_l_legacy,0,clean,control,0.8816346805241159,3212,,family_b964a57ffbddf6a6,534
transformer_l_legacy,0,clean,control,1.5042024827708598,17312,,family_71b144025f52e59c,140
transformer_l_legacy,0,clean,control,1.1312879827026467,1218,,family_4bf6d11e259630c1,532
transformer_l_legacy,0,clean,control,1.093653952647912,2677,,family_a164057d15ea429a,698
transformer_l_legacy,0,clean,control,1.0653425688178655,2414,,family_24dfe3f15bbe835d,243
transformer_l_legacy,0,clean,control,0.7887013999580526,588,,family_cb2cf90a481fb793,606
transformer_l_legacy,0,clean,control,0.5718006770521961,10358,,family_c874ed8859d535ca,362
transformer_l_legacy,0,clean,control,0.8269033701331527,810,,family_9d706bbe5906e6bc,93
transformer_l_legacy,0,clean,control,0.7586223753288668,13562,,family_bb5eaea47e3db521,158
transformer_l_legacy,0,clean,control,0.737310057573945,10960,,family_2e23a957596c94a1,452
transformer_l_legacy,0,clean,control,1.0776506334498004,1318,,family_190ff6b8b86c31bd,387
transformer_l_legacy,0,clean,control,0.8370017476786449,22265,,family_1dbac5e5dc15225e,284
transformer_l_legacy,0,clean,control,1.1632718628628727,10659,,family_d12ec1205e2b38f3,258
transformer_l_legacy,0,clean,control,1.1156740705299175,939,,family_fe64b9392ac59945,54
transformer_l_legacy,0,clean,control,0.683454896708162,593,,family_cb8273cf04ee6422,58
transformer_l_legacy,0,clean,control,0.8193327994870165,10770,,family_52fcc2a430ac1dfe,46
transformer_l_legacy,0,clean,control,1.183729622286784,48634,,family_d73cd491d1cc376e,313
transformer_l_legacy,0,clean,control,0.15199024975299835,402,,family_896e6058475d85c2,504
transformer_l_legacy,0,clean,control,0.7665461301803589,271,,family_dc605f4c0311b69b,77
transformer_l_legacy,0,clean,control,0.7620291709899902,418,,family_9d9014958e229b26,71
transformer_l_legacy,0,clean,control,0.5757911113962051,3410,,family_8cba6a895a1eda02,353
transformer_l_legacy,0,clean,control,0.5788018882918009,7782,,family_f139578e4dab698a,80
transformer_l_legacy,0,clean,control,0.5570536359576224,8966,,family_6d75ac5f58d11f18,217
transformer_l_legacy,0,clean,control,0.6332625016354398,6494,,family_5990a7393b1bfc0a,31
transformer_l_legacy,0,clean,control,1.0521328414528115,1854,,family_284fbbf34df3f7e8,100
transformer_l_legacy,0,clean,control,0.8845192936782659,857,,family_b49585225cf5c0d6,558
transformer_l_legacy,0,clean,control,0.6051108699141021,6393,,family_f5c26ed350b4ab73,37
transformer_l_legacy,0,clean,control,1.0272082919716587,8674,,family_bfddaa9b983612cd,667
transformer_l_legacy,0,clean,control,0.7373218638420105,2500,,family_d1efa3da7bf90eef,672
transformer_l_legacy,0,clean,control,0.9051075578099234,3281,,family_e27845ea1d3c17f5,418
transformer_l_legacy,0,clean,control,0.7013788223266602,41,,family_b7f94b3542a0da7d,609
transformer_l_legacy,0,clean,control,0.6994666908345739,12830,,family_73ee2da564c3d39b,462
transformer_l_legacy,0,clean,control,0.7661000893947933,4101,,family_7b40d80764230547,533
transformer_l_legacy,0,clean,control,0.452825142718326,9640,,family_d14815f8add032f5,508
transformer_l_legacy,0,clean,control,0.5159585431858723,9584,,family_998e2240a156ecdd,138
transformer_l_legacy,0,clean,control,0.9819582104682922,186,,family_38899c6e7a885c05,110
transformer_l_legacy,0,clean,control,0.7189982209699202,3903,,family_fcc0832c532eec68,188
transformer_l_legacy,0,clean,control,0.6635668377670365,1181,,family_a6a06fcf0eb60a8c,579
transformer_l_legacy,0,clean,control,1.3411715681628271,48390,,family_70cece08fb91854c,12
transformer_l_legacy,0,clean,control,0.9312963252276123,503,,family_4b94b213c3d4fa08,168
transformer_l_legacy,0,clean,control,0.836208427004144,12892,,family_0a7cb9ca8662c54b,551
transformer_l_legacy,0,clean,control,0.4770635664463043,356,,family_f38ebbcef90914e9,8
transformer_l_legacy,0,clean,control,0.9811373225705114,2004,,family_fc2ade3f73bf052f,380
transformer_l_legacy,0,clean,control,0.849419355392456,502,,family_2e9be0de8753a286,203
transformer_l_legacy,0,clean,control,0.719799189038552,987,,family_b0b662377a329d27,581
transformer_l_legacy,0,clean,control,0.964683473110199,356,,family_28e240b156c54585,629
transformer_l_legacy,0,clean,control,1.100336313675442,12262,,family_b285992ddbc1ba24,81
transformer_l_legacy,0,clean,control,1.2937663271735784,29811,,family_941fe9b7f6e42836,62
transformer_l_legacy,0,clean,control,1.3444935940687581,1702,,family_7e5d0f85c7938ae7,245
transformer_l_legacy,0,clean,control,1.108195518060866,2717,,family_ade1acf63d403dff,102
transformer_l_legacy,0,clean,control,0.7190517498008914,6022,,family_eb75a33dade5cdeb,678
transformer_l_legacy,0,clean,control,0.8497636410671348,1618,,family_236c05b0b6b045cb,143
transformer_l_legacy,0,clean,control,0.8020623261707602,669,,family_707a4103f358feb3,288
transformer_l_legacy,0,clean,control,0.1375095099210739,96,,family_21b728ec668b432d,631
transformer_l_legacy,0,clean,control,0.6199795103185449,849,,family_7df5e4cd2001efeb,612
transformer_l_legacy,0,clean,control,0.7429830610062953,8476,,family_5cdee57343206eb1,13
transformer_l_legacy,0,clean,control,0.9339123375840106,708,,family_fbb60f07539bf74a,283
transformer_l_legacy,0,clean,control,0.819471904209682,945,,family_52d508d06e660fb2,122
transformer_l_legacy,0,clean,control,0.7756605906083128,10036,,family_24c49b2dbbea0ff6,322
transformer_l_legacy,0,clean,control,0.5773816555994545,4073,,family_a3988b9597f6817f,571
transformer_l_legacy,0,clean,control,1.1745766805479547,12548,,family_4a8fbe9c547e5ce4,98
transformer_l_legacy,0,clean,control,0.49230846762657166,216,,family_51048182ed7b4454,512
transformer_l_legacy,0,clean,control,0.45396772027015686,186,,family_7224c63d7d5f2b96,262
