family_id,gain,pitch_4gram_similarity,interval_4gram_similarity,rhythm_4gram_similarity,duration_4gram_similarity,normalized_structural_edit_similarity,longest_shared_normalized_event_subsequence,token_4gram_similarity,token_8gram_similarity,token_16gram_similarity,receiver_length,donor_token_count,family_window_count_proxy
family_774f10d6c3d75980,0.2334118404753004,0.017902813299232736,0.005076142131979695,0.10249307479224377,0.017902813299232736,0.030944625407166138,1.0,0.02472250252270434,1.0,1.0,1020,1017,42
family_7a300c986fbfa9f2,0.06618302097570228,0.4050179211469534,0.3684210526315789,0.8148148148148148,0.4626865671641791,0.4219269102990033,0.04261954261954262,0.3545762711864407,0.12197928653624857,0.05280348394120849,1002,1002,4
family_d1a92696717aa9c2,0.16523703815531326,1.0,1.0,1.0,0.84688995215311,0.9882352941176471,0.5437837837837838,0.9447731755424064,0.9125,0.8724279835390947,989,989,18
family_2fe71bb032cb85fe,0.1298696381960756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1018,1018,4
family_348b29b5f47eda18,0.050395755615044946,0.7085201793721974,0.6995515695067265,0.7397260273972602,0.8405797101449275,0.4380305602716469,0.3314794215795328,0.7461883408071749,0.36556776556776555,0.35384615384615387,979,974,8
family_fa3341292470541d,0.3384208411428977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017,1017,20
family_f99e7467cfd91d72,0.16221320510967718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1002,1002,4
family_776fb0c74fb6af96,0.48267316661236936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1013,1013,32
family_56b1bf9100abf79a,0.10744623906805217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1018,1018,6
family_f53ae103dc0def58,0.16326690342840988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,989,989,10
family_c2d4ffa1539bdafe,0.557598978829036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1021,1021,62
family_328dc279bafe7f69,0.0775045639680077,1.0,1.0,1.0,1.0,1.0,0.2529348986125934,0.8732782369146006,0.32196162046908317,0.19973975276512687,1023,1023,20
family_de67cf52f9a2ce89,0.33459193587470426,0.32441471571906355,0.19756838905775076,0.6097560975609756,0.4092526690391459,0.6373983739837399,1.0,0.5868544600938967,1.0,1.0,1013,1021,88
family_581cf690b70ed77f,0.13329507343599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1015,1015,26
family_5ebcadebe538bd59,0.0775340000788371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1007,1007,2
family_5fe0b889b5279fed,0.34305420717858276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024,1024,58
family_8aff46e64d1c8360,0.41674986921424984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024,1024,78
family_c3abd4306e03adf2,0.08377835341682793,0.17804154302670624,0.12535612535612536,0.7566371681415929,0.18862275449101795,0.38961038961038963,0.8496732026143791,0.29026098026734565,0.7306616961789375,0.7109665427509294,1009,1024,26
family_f77d449f1658a159,0.2746908507437037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017,1017,27
family_121eefce620403f7,0.10198958181560858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1018,1018,52
family_439fc19617b55d44,0.09684297045533274,0.2709677419354839,0.23270440251572327,0.6909871244635193,0.6081632653061224,0.4304418985270049,1.0,0.27961783439490445,1.0,1.0,1017,998,13
family_7b8c8789f38183da,0.06541064483964953,1.0,1.0,1.0,1.0,1.0,0.02628696604600219,0.26222222222222225,0.11029411764705882,0.03575547866205306,997,997,6
family_7c104874587dddcc,0.6334287123925979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,783,783,8
family_2eec85a0fe915e64,0.2416332524028355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1021,1021,14
family_ac0566dd944bc201,0.16949404061796658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1021,1021,16
family_fe2836cc1cef695c,0.20466401309559945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017,1017,36
family_a03ac5414952d229,0.1115481129429522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1023,1023,26
family_9ccd2f467361ebab,0.0016589160513695855,0.12968299711815562,0.11428571428571428,0.3378839590443686,0.7818181818181819,0.3648208469055375,0.3733195449844881,0.12058328659562535,0.2581699346405229,0.24364820846905538,1022,982,16
family_6f0024d47bda9a44,0.12559555647955079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,942,942,6
family_b88eee6ecd7ef6bc,0.2685838099482659,1.0,1.0,1.0,0.9607843137254902,0.9983739837398374,1.0,0.9921875,1.0,1.0,1023,1023,53
family_3dffb074803c8f80,0.2465568013773311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024,1024,48
family_39849966d6043c11,0.11000905434290575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,893,893,2
family_f19aa9a5e722eb61,0.2325288457246293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,913,913,12
family_a95aeca85317a04d,0.3390340219216994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1020,1020,38
family_39f58e2fd604c61e,0.0841490626335144,1.0,1.0,1.0,1.0,1.0,0.0062047569803516025,0.12288875946418171,0.0,0.0,967,967,2
family_af212e596b07120e,0.2589338750596979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1002,1002,26
family_961cefc620e3d5ab,0.1848247845967611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,918,918,2
family_2dbafe5054d4bee7,0.10935550668236449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1022,1022,42
family_0a0ff01b239a934a,0.45065151810332416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1010,1010,12
family_6a42731481dda124,0.1848501297673908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,938,938,6
family_e4e4467ef74cc720,0.10103332996368408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,787,787,2
family_b324bd83d2be3825,0.31945064556684416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1016,1016,32
family_59add5a121b9a616,0.08505554313183639,1.0,1.0,1.0,1.0,1.0,0.9033570701932858,1.0,0.9288537549407114,0.8723404255319149,1022,1022,8
family_4da27be0a15493fc,0.19421748772536718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1012,1012,26
family_0ecded087f80d73b,0.24682813898143108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1018,1018,50
family_746d1e0c3274827f,0.10789950444289298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1007,1007,12
family_6d17de7e325f25f8,0.08031185087668358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,993,993,26
family_67cf34a836b9cd6c,0.2207736919886063,0.21100917431192662,0.15542521994134897,1.0,1.0,0.935064935064935,1.0,0.7281223449447749,1.0,1.0,1020,1020,60
family_3bd7e5ca43f02666,0.24867622271575462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1008,1008,4
family_e2c30beb0d4abeae,0.07277903327333979,0.002512562814070352,0.005063291139240506,0.2054380664652568,0.43010752688172044,0.23987034035656407,0.8768736616702355,0.06746861924686193,0.717948717948718,0.715939447907391,1024,1023,59
family_3fbe0e330aecdc00,0.08852154016494751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,978,978,2
family_83b27a32aa56f9dc,0.19010091841106158,0.41155234657039713,0.3745583038869258,0.570281124497992,0.2736156351791531,0.6039603960396039,1.0,0.37517241379310345,1.0,1.0,992,1008,18
family_58c32a6b58cc329f,0.22235480670899793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,958,958,4
family_853b6705e7d7e7a9,0.30276490286989904,1.0,1.0,1.0,1.0,1.0,0.8905742145178764,1.0,0.7844080846968239,0.7827352085354026,1007,1007,29
family_5405158fe7a3977d,0.09522057263939476,1.0,1.0,1.0,1.0,1.0,0.029352226720647773,0.24055415617128464,0.05088377075522228,0.019381875327396544,988,988,6
family_e0f7e5849dbe9388,0.13535101970972363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1023,1023,48
family_6fbe37a0a6611f64,0.42986535817576255,0.7533039647577092,0.7522123893805309,0.31353135313531355,0.8598130841121495,0.26860841423948223,0.020618556701030927,0.3114964675658317,0.04840425531914894,0.00565843621399177,1024,1024,91
family_3835425eafb00035,-0.0023688201286029553,0.05191256830601093,0.058011049723756904,0.5587044534412956,0.3275862068965517,0.2857142857142857,0.013584117032392894,0.08508287292817679,0.007209062821833162,0.0,1013,957,8
family_4f1b63b3eef9f7d0,0.09856772581812878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,990,990,6
family_8f08581ca21b6c6f,0.0549427412115544,1.0,1.0,1.0,1.0,1.0,0.6891747052518756,1.0,0.5273592386994449,0.48985959438377535,1007,1007,3
family_db6398f302f77cb4,0.15277814814465054,0.7522123893805309,0.7280701754385965,1.0,0.9411764705882353,0.975328947368421,0.05550049554013875,0.7396551724137931,0.37637362637362637,0.12379875635952516,1012,1012,28
family_aad2d66dec95dc7a,0.15261749517618467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,964,964,6
family_04795413b15e0b98,0.19196239661312464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1012,1012,8
family_d4c8efafc098f593,0.21563241339226258,1.0,1.0,1.0,0.8476190476190476,0.9933333333333333,1.0,0.9682854311199207,1.0,1.0,996,996,20
family_30fbd9977a220042,0.3568192279776743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024,1024,192
family_2d3e3d92f30c4369,0.22062403546879622,0.14121037463976946,0.15204678362573099,0.6431535269709544,0.5230769230769231,0.33224755700325737,0.9988888888888889,0.34372926343729265,0.8875621890547264,0.8866599799398195,1011,1020,38
family_6342008bae187399,0.23072680350072994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1010,1010,40
family_f60bd4cc83d02add,0.48733837910961714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1011,1011,34
family_08157e0ead630e5c,0.15693927690165366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937,937,10
family_0f71c7e0830e1d85,0.4508612685599086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1022,1022,42
family_be459453ebdfa1da,0.03359597486043864,0.09944751381215469,0.050397877984084884,1.0,0.2634920634920635,0.5400981996726677,0.06759656652360516,0.5422053231939163,0.2525389302640487,0.06876456876456877,1017,1017,16
family_a534382ff42b71fb,0.1055768907889964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,992,992,4
family_e97b637c75aac2b5,0.12057542800903331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937,937,2
family_f0c0dd7c2f3b6a3f,0.022955559903243272,0.0,1.0,1.0,1.0,1.0,0.013888888888888888,0.24689826302729528,0.025614754098360656,0.0,1008,1008,8
family_c3ae851031cec2bb,0.191380721344809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024,1024,26
family_d0b38ee50d018148,0.11391464370012949,0.941747572815534,0.9414634146341463,0.9704433497536946,0.8779342723004695,0.9820846905537459,0.5553097345132744,0.9539789069990412,0.9478827361563518,0.8975453575240128,1022,1022,14
family_c64269798048b60f,0.5202648311971019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1018,1018,44
family_1cfa4116628ae42e,0.1513328593686621,0.13119533527696792,0.11560693641618497,0.3906810035842294,0.6371308016877637,0.29132569558101473,0.7386363636363636,0.31648936170212766,0.582716049382716,0.579950289975145,1017,969,5
family_101bf32d18499c7d,0.23043550642613203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,937,937,8
family_52885ec61f0240b9,0.5706514949325151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1021,1021,62
family_8661140073b6a2ab,0.19577628374099731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,997,997,2
family_eacebc389812585f,0.08351560483679049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017,1017,10
family_23e85181dd747797,0.2230856645518336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,805,805,4
