family_id,normalized_classification,original_classification,classification_changed,donor_note_events,receiver_note_events
family_39849966d6043c11,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2493,2493
family_af212e596b07120e,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,4049,4049
family_2d3e3d92f30c4369,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1949,1949
family_f0c0dd7c2f3b6a3f,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,294,294
family_5aaa5f6f546aa704,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,6951,6965
family_78031f033e192cce,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1206,1206
family_961cefc620e3d5ab,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,11571,11571
family_fe2836cc1cef695c,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_EXACT,False,6182,6182
family_0f71c7e0830e1d85,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5480,5480
family_2dbafe5054d4bee7,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3858,3858
family_52885ec61f0240b9,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,11311,11306
family_b88eee6ecd7ef6bc,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,6572,6947
family_de67cf52f9a2ce89,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4908,4405
family_7b8c8789f38183da,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2576,2576
family_774f10d6c3d75980,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2163,2187
family_6fbe37a0a6611f64,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2950,2950
family_c64269798048b60f,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1741,1741
family_f60bd4cc83d02add,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1508,1508
family_39f58e2fd604c61e,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1702,1702
family_101bf32d18499c7d,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3048,3048
family_e97b637c75aac2b5,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3827,3827
family_e2c30beb0d4abeae,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3019,3019
family_581cf690b70ed77f,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5359,5359
family_9ccd2f467361ebab,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1803,1803
family_6342008bae187399,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2215,2215
family_8661140073b6a2ab,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,6015,6015
family_1a8ff9e18d3eabea,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3514,3514
family_b324bd83d2be3825,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1449,1449
family_23e85181dd747797,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,908,914
family_b3ba3218de08f591,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3792,3796
family_38ddaabf01adae92,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2445,2446
family_5405158fe7a3977d,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4198,4198
family_e4e4467ef74cc720,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,14659,14659
family_4f1b63b3eef9f7d0,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2963,2963
family_7a300c986fbfa9f2,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2237,2287
family_6f0024d47bda9a44,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3797,3797
family_746d1e0c3274827f,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,12882,12882
family_6a42731481dda124,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5124,5124
family_0ecded087f80d73b,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1208,1208
family_5facacfb4d33d062,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,947,2981
family_5cc4efa05e4dc250,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5818,5818
family_4731a6d05dff34ce,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,7082,7082
family_c3ae851031cec2bb,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4324,4324
family_30fbd9977a220042,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,8576,8573
family_e3c89d0945320ec5,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2952,2952
family_f99e7467cfd91d72,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,4073,4073
family_0a0ff01b239a934a,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,370,370
family_5ebcadebe538bd59,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3474,3474
family_2fe71bb032cb85fe,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3017,3016
family_e0f7e5849dbe9388,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3282,3282
family_c3abd4306e03adf2,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4509,4514
family_83b27a32aa56f9dc,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3421,913
family_fa3341292470541d,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3813,3813
family_15b8f6d235825863,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_EXACT,False,5652,5652
family_a95aeca85317a04d,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1686,1686
family_3dffb074803c8f80,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4071,4071
family_1cfa4116628ae42e,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,7231,7231
family_f53ae103dc0def58,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5298,5298
family_3db848c291e71542,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3463,3463
family_76f3986b08ecfc19,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2805,2805
family_121eefce620403f7,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,2740,3830
family_8aff46e64d1c8360,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3302,3302
family_debbecc1e7f77f3e,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2612,2612
family_f19aa9a5e722eb61,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2004,2004
family_d0b38ee50d018148,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,6039,6091
family_aad2d66dec95dc7a,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,7921,7923
family_59add5a121b9a616,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3872,3872
family_c2d4ffa1539bdafe,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3278,3278
family_58a5b18cf3751bf1,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4216,4222
family_8f08581ca21b6c6f,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4255,4262
family_5d6a15b20dff7233,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,4773,4773
family_eacebc389812585f,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,901,4879
family_3bd7e5ca43f02666,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,5591,5591
family_da2cbb03fa208ffc,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,4209,4209
family_5fe0b889b5279fed,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2582,2582
family_58c32a6b58cc329f,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3595,3595
family_d4c8efafc098f593,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,824,824
family_853b6705e7d7e7a9,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,4147,4143
family_7c104874587dddcc,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_EXACT,False,207,207
family_2eec85a0fe915e64,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,585,585
family_08157e0ead630e5c,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2068,2068
family_67cf34a836b9cd6c,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,6976,6976
family_a03ac5414952d229,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,2627,2627
family_4da27be0a15493fc,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3797,3797
