family_id,split,seed_0_delta,seed_1_delta,seed_2_delta,mean_delta,negative_direction,family_order
family_716b7f5021a82ccf,treated,-0.09955157925283287,-0.10113035066714571,-0.12472766245212974,-0.1084698641240361,True,270
family_dfc0de51587939cb,treated,-0.051715294881654814,-0.056706547464301704,-0.05004331589706483,-0.05282171941434045,True,276
family_0b1b5d8b94feabb4,treated,-0.022896602737539906,-0.03762542439804328,-0.05208947868850333,-0.03753716860802884,True,277
family_763b9e5cc1615062,treated,0.010838913662329586,-0.0045114570066105975,-0.033328785608359945,-0.009000442984213652,True,284
family_46272ba2e3baaec4,treated,-0.06834959653700645,-0.06986158572826068,-0.07652110504548543,-0.07157742910358418,True,287
family_91ac71586309274f,treated,-0.05843564357501174,-0.06202497447277122,-0.07997908205322579,-0.06681323336700291,True,291
family_ef7c669ce887d98d,treated,-0.09396244132025744,-0.11469423138346468,-0.12640603742490647,-0.1116875700428762,True,306
family_69280d70016898d4,treated,-0.047885264625995794,-0.054297081622722954,-0.11717670373115185,-0.07311968332662354,True,315
family_e26c412d2bf4ef23,treated,0.013664044993794033,-0.0006895592641048554,0.0015434346353734307,0.004839306788354203,False,334
family_5bd41b6f65a3fa08,treated,-0.007229272142023069,-0.013082864359211355,0.00460142694859389,-0.005236903184213511,True,338
family_2a9acaaaa206857f,treated,-0.07294787738985187,-0.07105338008355344,-0.08706898183370548,-0.07702341310237026,True,345
family_8626120333d3a6fd,treated,-0.08157924760297885,-0.10249219057217951,-0.09538558030787025,-0.09315233949434287,True,352
family_af71579703adab9b,treated,-0.10882515974818774,-0.0915596816208335,-0.11735654289150588,-0.10591379475350904,True,354
family_961ce22dc50c2496,treated,0.015274932170243893,0.00039904796033407575,-0.02475548636528757,-0.0030271687449032005,True,385
family_4020f09183bfa8c1,treated,-0.019058514294091444,-0.026966805586909115,-0.010026086274782187,-0.018683802051927583,True,392
family_9f027a57e4f4ec31,treated,-0.018739943428895733,-0.030183583037479478,-0.06381527796617936,-0.03757960147751819,True,399
family_13798f417b635e9a,treated,-0.0074176788330078125,-0.030255377292633057,-0.030944883823394775,-0.022872646649678547,True,401
family_3d13c5c8c00a7596,treated,-0.01571650710368433,-0.0199971150023584,-0.031085725057285962,-0.0222664490544429,True,406
family_92206bde258af4e4,treated,0.011508627757391254,-0.027969609192430633,-0.009311929352879833,-0.008590970262639738,True,411
family_9bd228a47681c7b2,treated,-0.008688901344766409,-0.015362203748658043,-0.020901555431412255,-0.01498422017494557,True,412
family_a55e4bdb2c90ea5b,treated,-0.17974516475058278,-0.20102363357799513,-0.22163503054728007,-0.20080127629195266,True,424
family_adc8419161645915,treated,-0.08811569294592841,-0.09574900129495678,-0.09157676797618236,-0.09181382073902251,True,426
family_76bd9632508fc892,treated,-0.08340139064824303,-0.07611160081046253,-0.08724547827776064,-0.08225282324548873,True,441
family_f52b6909b0ebd60b,treated,-0.06049186861226086,-0.06986608240578573,-0.07088345344562141,-0.067080468154556,True,459
family_81caaa199e04696e,control,-0.005613690485668621,-0.002823652842437352,-0.006301148283059499,-0.004912830537055157,True,0
family_b1bfbd4df51d3281,control,0.026019493524892967,-0.005847839351628692,-0.046814936226239,-0.008881094017658242,True,5
family_6efd47f4e7625286,control,-0.003958502536413611,-0.011859019741801924,-0.024580264493640258,-0.01346592892395193,True,8
family_28595fb1bc0f3fc9,control,-0.0012555328243677444,-0.007955362928501186,-0.005299097474883607,-0.004836664409250846,True,11
family_2299048dcdfc88ae,control,0.013939011037793436,-0.002294086067759382,-0.036787675735228675,-0.00838091692173154,True,17
family_ceaf8a343a31cbd9,control,-0.007306971272279805,-0.001586368212551592,0.010263924031443827,0.00045686151553747667,False,18
family_a0838daefd74be4b,control,0.006566390019805413,-0.02398161632798912,0.0025229442998216944,-0.004964094002787338,True,19
family_845dcb037dda9ca4,control,0.003443455022283104,0.0026783935649525303,0.0026308484666690557,0.0029175656846348965,False,23
family_0f71bd81fce2ffce,control,0.003909685075469405,0.004766733529859679,-0.012121405104203231,-0.0011483288329580492,True,24
family_71ce23a7f17005f8,control,0.01658950916259161,-0.042744595409829,0.02544555575141816,-0.00023651016527307758,True,26
family_a5428498c7c08cf4,control,0.004436778372648442,-0.01843788157359394,-0.07546354735370897,-0.02982155018488482,True,28
family_37f9e97be389a23e,control,0.006694813813168554,0.0017601209184143207,0.0017383340129091818,0.003397756248164019,False,29
family_52b6f81b853b12ca,control,0.012042816990664673,0.0017553259982345804,0.02034368630196337,0.011380609763620875,False,33
family_5eb48950a52ed210,control,0.008648952745451965,-0.0008143993303172947,-0.008699225582555148,-0.0002882240558068257,True,40
family_8b82200a19c5284b,control,0.01376497681530453,-0.004428677087421673,0.003916842849766122,0.00441771419254966,False,42
family_6532a15861b5fee0,control,-0.007820330864312663,-0.006829064200454649,-0.029295678565738753,-0.014648357876835355,True,46
family_103aaa5d05f6ae8e,control,0.0032342706462100135,-0.011476947834894669,-0.02729747668514415,-0.011846717957942935,True,48
family_8afe0a881f58daf3,control,0.006737288139610831,-0.023860601074727206,-0.07320814732186931,-0.030110486752328563,True,50
family_6f452079ad53f9e3,control,0.014426928227346592,-0.001488527462741529,0.014171853716120175,0.00903675149357508,False,52
family_012ed35c0fd13d06,control,0.03280679902635186,-0.03158509694273848,-0.02463024340225317,-0.007802847106213262,True,55
family_e38bf4eb3506f212,control,0.00892862891839219,-0.009325768199621498,-0.0009842097369674452,-0.0004604496727322512,True,56
family_ef2744416d3c3898,control,0.014386436743950015,0.01313644533096281,-0.03626916248236034,-0.002915426802482505,True,59
family_7349598b33c049cb,control,0.012322934601418811,-8.249630460022139e-05,-0.018522427863789825,-0.0020939965223237453,True,70
family_ce0fe6a313ad3fa7,control,-0.03835784758978733,-0.004026671638333701,0.00640195346460104,-0.011994188587839997,True,72
family_11b4c8394b81742f,control,-0.006157352217250001,-0.02700886702582861,-0.018022953557424226,-0.017063057600167613,True,74
family_db8a7f65a6428bf1,control,0.013730490562562758,-0.021398950819896068,0.0038901133286247114,-0.0012594489762361993,True,76
family_cfd4d018d597a4a5,control,0.01583421139084562,-0.022866034234056642,0.03363385918189066,0.008867345446226546,False,78
family_5599c85abb41e72e,control,0.002720604686455186,0.005216587322016575,-0.005766451183971344,0.0007235802748334722,False,79
family_5cb426dcc2868bf0,control,0.003445304986398501,0.01074749510032924,0.02364775255255025,0.012613517546425998,False,80
family_8cf04bc28e56473d,control,0.003276018267037828,-0.032171001044827285,0.009984659484773672,-0.006303441097671929,True,81
family_f758022272171098,control,0.024445404226503542,0.01928924354644268,-0.06541383056848471,-0.007226394265179496,True,82
family_ddd2c37740ff58a2,control,0.007347647636513299,-0.0029840777253341555,-0.014720158058055932,-0.0034521960489589296,True,86
family_15f4d27f85125588,control,0.02548492071618058,0.004491877842042968,-0.02844714020351058,0.0005098861182376568,False,87
family_a790cfe693f8277b,control,0.017567052053237886,-0.002687272155320275,-0.02121403451224113,-0.0021114182047745067,True,91
family_361226c27f4b583c,control,0.0031953228642735976,0.010583389849709024,0.006635275470748159,0.006804662728243593,False,93
family_efea7bec2494faa6,control,0.019811909552036266,-0.004311865175163354,-0.004404603251748296,0.0036984803750415387,False,94
family_90e4eeca3b9056bc,control,0.0030453852220264643,-0.012794103840858106,-0.009456319430047877,-0.006401679349626506,True,95
family_b976189e2858871b,control,0.0032872344464005554,-0.001643951696068957,0.001694676807189932,0.0011126531858405102,False,98
family_b4e54fd6b86765a7,control,0.025325055325066015,0.008381446095420464,-0.008359811416347784,0.008448896668046232,False,100
family_dd63a4fd117ff862,control,0.01279265379647776,0.001268097421782799,-0.0009374295117646758,0.004374440568831961,False,101
family_72340b299451623e,control,-0.003080522932627505,0.00631856605296055,0.0043997543424139085,0.0025459324875823177,False,103
family_4088ef571aaf36b5,control,0.01883352325841925,-0.0013678820564014815,-0.007962930977049476,0.0031675700749894307,False,104
family_b4dfbc9dfe23dd94,control,-0.011370919991454342,-0.010071316945085895,0.015627800065169395,-0.001938145623790281,True,105
family_9f6868eefbbbed1e,control,0.025496227127133064,-0.008439970088727544,0.0021020648696206123,0.006386107302675377,False,106
family_423d353537dce020,control,0.030905489369951633,-0.013652527572139972,-0.03257156136423589,-0.005106199855474743,True,108
family_83cee363496e020d,control,0.016918302871388458,0.00017258140981391001,0.0065546053350952205,0.007881829872099197,False,109
family_94f7ed188c628e96,control,0.009097414000311832,-0.002717615672086837,-0.007034031547602848,-0.00021807773979261777,True,113
family_b80c0a0cc51e9cb0,control,0.0067129718955377116,0.0025353656027947147,-0.005869375638421104,0.0011263206199704408,False,115
family_f24faf403f0945b9,control,-0.00010559664695120041,-0.012297452407277976,-0.03731141385568937,-0.016571487636639515,True,118
family_10c3be0f4e5ac610,control,0.013117701986925412,-0.004319299826196277,0.007558063321443931,0.005452155160724355,False,119
family_aa6f2c9ac321af63,control,-0.012732779862024313,-0.005685610350209813,0.0044658877133579855,-0.0046508341662920465,True,125
family_3498095076b2c688,control,0.028535007720479233,0.0060551481065187485,-0.013225648288147429,0.007121502512950184,False,126
family_2609262775f19fee,control,0.013730839646495463,-0.028623476162948358,-0.005807092785835244,-0.00689990976742938,True,130
family_c93045766e35cdce,control,0.004729428747202058,-0.005650110276613662,-0.011329433217020513,-0.004083371582144039,True,131
family_12c80f084ce84e4d,control,-0.001744548780099331,0.005267446293429234,-0.016089289071664625,-0.004188797186111574,True,134
family_3c16cf85716dcecf,control,0.03378796166943432,-0.005924445811967161,0.056746548441119704,0.02820335476619562,False,137
family_14836bf70ba6bcc9,control,-0.013514898884775306,-0.004925116754616932,0.009300006143977024,-0.003046669831805071,True,139
family_c5129a2465a145bd,control,-0.0015987853574402355,0.006595944775743212,-0.003764364092300354,0.0004109317753342075,False,145
family_ba5cd8130b572f33,control,0.013907456371401006,-0.021332167107992017,0.008351002800829566,0.00030876402141285136,False,146
family_4207ad52459ede8b,control,0.025407438634124146,0.02248034678505939,0.07613868165060567,0.04134215568992974,False,154
family_cfb8414dd0ed5e61,control,0.01920489660261837,-0.0033203578241112197,-0.0021646778931776467,0.0045732869617765015,False,156
family_58ec76f0444692f7,control,0.003017718028841654,-0.004292367955650911,0.0002759818401601999,-0.0003328893622163524,True,157
family_66b2e70bd2d3ce49,control,0.013169291234908953,-0.01665551829052314,-0.019310832217657614,-0.007599019757757268,True,159
family_ec8e45be3f13c228,control,-0.003906892312403543,-0.0028993559504461586,0.006062268833305351,-0.0002479931431814501,True,162
family_489085f0784e16ac,control,-0.029629760406342076,-0.0025831803860986713,0.022985174443370615,-0.0030759221163567108,True,167
family_2624676d2c88ea6d,control,0.0312910625686893,0.0038385647973973036,-0.026129266658386607,0.003000120235899998,False,171
family_4479ba395f10b6fa,control,0.017958007925402586,-0.0022093717670428337,-0.018890174698697026,-0.001047179513445758,True,172
family_63a00abd27340f71,control,-0.0021492209575281196,-0.020252040785500802,-0.010866860006329249,-0.011089373916452724,True,175
family_9dbf43a9d569c04f,control,-0.023998186201975802,-0.0006899564918979584,-0.004729040171801258,-0.009805727621891672,True,181
family_662a7ad6856a20ec,control,0.008372584237270275,0.0005947250958984185,-0.009632327209490588,-0.0002216726254406313,True,183
family_b14e195ae596f5ca,control,0.020725450665221135,-0.005991306680836805,-0.02686338018438672,-0.004043078733334131,True,184
family_f6ec39a379c5708b,control,0.005495762237667234,0.01831612462980048,-0.00868585814524736,0.005042009574073451,False,187
family_824e732522aeff8c,control,0.016554995819374363,-0.0007925350409546672,-0.0069460826365825845,0.0029387927139457037,False,188
family_499863e15eed8232,control,-0.013111676458726906,-0.017504085853085827,0.016460130437772835,-0.004718543958013299,True,189
family_88158f96b47c8463,control,-0.00855669664417924,-0.011709389276140514,0.00924527573921119,-0.0036736033937028547,True,190
family_0ae88fc74fe94e45,control,0.03209931254386911,0.031572023034095786,-0.04332085549831388,0.00678349335988367,False,194
family_c21274f2eb197439,control,0.004563063048244886,-0.009010754315107117,0.008377905368074312,0.0013100713670706938,False,197
family_41e212eb6a6f1251,control,0.025341186425382467,0.004064518082096791,-0.021735937287669316,0.0025565890732699805,False,199
family_a120ee09300e50dd,control,0.006573654116747485,0.0004804253616082499,-0.014042178642399872,-0.002329366388014712,True,203
family_8ce450e0fd5b760b,control,8.704973538398164e-05,-0.040669938568138275,-0.07623366993557756,-0.03893885292277729,True,206
family_70735ae7b3233e96,control,-0.006760509104513729,-0.0024664099506341713,0.013130439842333558,0.0013011735957285525,False,212
family_69f22f7a30e471a2,control,0.03545054859980923,-0.06331363986981542,0.02856493823702433,0.00023394898900604608,False,214
family_45a9a446b545ce75,control,-0.009324789047241211,-0.04350036382675171,-0.03506827354431152,-0.029297808806101482,True,215
family_f1ec422e65e5e3a9,control,0.01799996053803027,-0.012406828109825185,-0.0341996545698281,-0.009535507380541005,True,216
family_aa758de10b858582,control,0.05573337069222606,-0.03098912174884083,-0.12890990218540055,-0.03472188441400511,True,219
family_27dd5edc76fc8784,control,-0.00010881963754516555,-0.004796039695864618,-0.009918082432910258,-0.004940980588773347,True,221
family_3aec88616484d2b6,control,0.0155369082574629,-0.04848919245870875,-0.01721635829782464,-0.016722880833023496,True,224
family_fe02b4f4619b881d,control,0.018875500494914932,-0.02143283753565861,-0.010660177373021829,-0.004405838137921836,True,226
family_9328bcf632c26907,control,-0.005338228970842657,-0.005933610593138738,0.014019100345039115,0.0009157535936859066,False,229
family_09f6c0e15252a8f3,control,-0.0011641783058676802,-0.020646538805527248,0.03865570215017744,0.005614995012927504,False,230
family_e7f08820ef277e3f,control,-0.029478115811629624,0.023334637095656585,-0.0056709303886075535,-0.00393813636819353,True,236
family_b45145574ef29d16,control,0.03689689548769881,-0.056236860684361734,0.07800875873359403,0.019556264512310368,False,237
family_531a64b78d3f6b6e,control,-0.004930106739916007,-0.013406612722903444,-0.0230910324617965,-0.01380925064153865,True,238
family_2da4728a37224b1a,control,-0.0016119660041389317,-0.008728308977698496,0.029105878148546593,0.006255201055569722,False,240
family_e94c3b88439b9029,control,0.04002428951136172,-0.01125869132360735,-0.0686213505255201,-0.013285250779255242,True,241
family_a59a0356188b4355,control,0.008307551313811667,-0.00933259949385723,-0.02153159515676739,-0.007518881112270985,True,243
family_161d3f17d2de86cc,control,0.006525430582665193,-0.0055152907610859225,-0.005817385962570976,-0.0016024153803305685,True,245
family_7b0c7aa83467acba,control,0.00016619071680573638,0.007059215148410403,0.009787218919812768,0.005670874928342969,False,246
family_c3cdd4e1b48a655d,control,-0.0012582728937851062,-0.00028176936328683233,0.00037678933640439283,-0.0003877509735558486,True,247
family_226194ed4cf87102,control,0.00980230073649957,0.016079876878346888,-0.0437072767817801,-0.005941699722311215,True,249
family_359bf4cb84d86e8e,control,0.02882868950741513,-0.00394474773978748,-0.01860697549171164,0.0020923220919720023,False,251
family_c10f45db237bb96c,control,0.012764022022229427,-0.00171222343107158,0.0031588615172005174,0.004736886702786121,False,253
family_5b702cf6ad770b44,control,-0.0036067266847733537,0.01004878365027706,0.0037352660222563783,0.0033924409959200283,False,258
family_b3a5b65ace87c66a,control,0.01677074705170245,-0.009949542176073911,-0.00027148691081990695,0.0021832393216028776,False,259
family_c9107e559bc10df1,control,-0.024857467273744493,-0.012475489394969175,0.04662950121347631,0.003098848181587547,False,263
family_753059cc96813ec7,control,0.003581358550044267,0.003017334128438187,-0.0025020963615841607,0.0013655321056327645,False,264
family_960f71ee7da5de06,control,0.005831355021670759,-0.03727943477859064,0.011103372609688078,-0.006781569049077267,True,269
family_bbdb130f24f492f3,control,0.004742243264128754,-0.010589971610951432,-0.05250630779298726,-0.019451345379936646,True,271
family_e8fbaa3c44712ef8,control,0.010803866753080205,-0.01440276439325211,-0.02277016204825799,-0.008789686562809965,True,275
family_11716c30ab805b83,control,0.011259799408044335,0.005474050310946499,-0.026907984263021545,-0.0033913781813435704,True,279
family_6a57cb9a85811216,control,0.012590187114217999,0.006192707963611821,0.009863330073978549,0.009548741717269457,False,283
family_fc3f9109e95affd2,control,-0.013151943683624268,-0.003017927209536253,0.026112760106722532,0.0033142964045206704,False,285
family_41d870642c85787c,control,0.030701371992184923,-0.008468842147884459,-0.008112632210349413,0.0047066325446503505,False,286
family_e74855c30bc72109,control,-0.007629521772823167,0.01271925240276972,-0.026438492377173994,-0.0071162539157424804,True,288
family_bbf9bd595ed0e3ae,control,0.005722048828067039,-0.024029085713907272,-0.003412498891939564,-0.007239845259259932,True,294
family_2d97c1fe9f1f35cb,control,-0.004004074354729603,8.94409495953985e-05,-0.023221299094547287,-0.009045310833227163,True,295
family_e1fdfc5d8014a775,control,-0.005389303766086928,-0.04336144058052416,-0.04662837544363185,-0.03179303993008098,True,296
family_098eba68cc7a5705,control,0.01583964669186133,0.04226679041765746,-0.001499028309531858,0.018869136266662312,False,297
family_e5d8b71a52363ad9,control,0.0618190715393141,-0.056619919892556436,-0.01453181312526386,-0.003110887159502066,True,298
family_cb615c986d58b9f8,control,0.011373070414657405,-0.013974141382865679,0.0033151272911726704,0.00023801877432146531,False,299
family_a6b1e6c8dc05d3fc,control,0.015213888575934198,-0.00832676997171966,0.016780138400317668,0.007889085668177401,False,302
family_16690ce1f5941cee,control,0.015030473089615026,-0.01366653273259022,-0.001899384051373798,-0.00017848123144966385,True,305
family_dba84aa0b1e1bdf3,control,0.008555006277829902,-0.005725603928600498,-0.13628175974660062,-0.04448411913245707,True,307
family_e8523609850692e2,control,0.020160651552704745,-0.006564568187133912,-0.0021393803183827886,0.003818901015729348,False,309
family_28bee39b5c21fe9d,control,-0.008448296912830527,0.0034405326619213195,0.013615477919501323,0.002869237889530705,False,311
family_1cde6c60b123043d,control,0.0006472262129969264,-0.0013592850385381883,-0.0005204861640123459,-0.0004108483298512026,True,312
family_0d74725de98c4bb2,control,0.01589536498802513,-0.005713470929948561,-0.019024532892793933,-0.0029475462782391215,True,316
family_90c57504d43c4f71,control,-0.003962407538557922,-0.018924684555181592,-0.01605698277674339,-0.012981358290160968,True,319
family_2daf31b4fc409af5,control,0.026856660753388717,-0.01856901157469648,0.01337417610918279,0.007220608429291675,False,323
family_8ba71a11594a0b10,control,-0.013125393527964602,0.005168556033212757,-0.007720854113863362,-0.005225897202871736,True,326
family_d17cfeb524a60ef8,control,0.03820841484100468,-0.0355116074244739,-0.0702506342792315,-0.02251794228756691,True,327
family_c29fb15617d16c65,control,0.007434441518718582,-0.010331913512149404,-0.006457701219849732,-0.003118391071093518,True,329
family_f4ef77025e9d585a,control,-0.03525420740706453,0.012929714932069847,-0.06715251770620712,-0.0298256700604006,True,332
family_adb9f960ea267631,control,0.03249345492658923,0.00318264171892213,-0.025233566965591814,0.003480843226639848,False,333
family_c7dc176fdd0217ba,control,-0.014933325416912613,-0.002246663037066332,-0.015352023017839167,-0.010844003823939371,True,335
family_a5be12c3425856ca,control,-0.0002568651165988367,-0.001803446259047492,-0.00623782106989379,-0.0027660441485133727,True,341
family_90b698ed239c72f3,control,0.004081507786526051,-0.0040414658505179,4.6815423831336744e-05,2.8952453279829093e-05,False,342
family_31f5f0755be116cf,control,-0.007478552337887079,-0.011726870307099901,-0.03496978687069441,-0.018058403171893795,True,346
family_15270847da98bf26,control,0.015517050999621806,-0.008093733444819229,-0.0184507647803947,-0.0036758157418640414,True,347
family_f91bbb3ed944db7f,control,0.015612701741306023,0.014011971098579767,-0.00028677209862437714,0.009779300247087138,False,348
family_c4c2d9a3593749d3,control,0.023507626513293522,-0.004381750856475186,-0.006307544474564386,0.0042727770607513165,False,349
family_f6645dba4758639d,control,0.016301524298101222,9.587253717829869e-06,-0.02150566754725705,-0.0017315186651459997,True,351
family_b4cc6bf90e9fe8d0,control,0.01012993854449562,-0.014214868981720419,-0.002049461347688575,-0.002044797261637791,True,355
family_0ac37a6cf3e1a691,control,0.01670938764925367,0.009977712948427864,0.030274438217370636,0.01898717960501739,False,356
family_bce72a81e9f7a75f,control,0.012729178127060592,0.0080100020674167,-0.007010490485980736,0.004576229902832185,False,359
family_8a0b900fe4ce844d,control,0.0004579231293529995,-0.0015144239417055338,-0.0026428457354219503,-0.0012331155159248282,True,360
family_208e11010803c426,control,0.024238162563687826,-0.02078430181158808,0.018737450478080286,0.007397103743393345,False,362
family_7308f8408f102e02,control,-0.0018111529927816727,0.003685428285450598,-0.012344423214100897,-0.0034900493071439906,True,365
family_a84fdd88fca1dd99,control,-0.011721328040335877,-0.020117357811507086,-0.027741244451247427,-0.019859976767696796,True,368
family_6fdd03c196b1863d,control,0.020811409010068616,0.004004714644776808,0.017714406660381266,0.014176843438408896,False,369
family_5babdebfe8e80836,control,0.00789869606338689,0.015929928971817664,0.027018490348245883,0.016949038461150145,False,371
family_f49521b3b9139607,control,0.016467723156620706,-0.01437839807287844,-0.010396158764629515,-0.0027689445602957496,True,376
family_c2ad44d60ca30de3,control,0.00500141700570228,0.003456165465284322,0.004579844599365279,0.004345809023450627,False,377
family_7080c9dc9123eefa,control,0.002396536481954259,-0.010141902632132105,-0.020364204271239528,-0.009369856807139124,True,380
family_c8c5b3165dc3d00f,control,-0.009304851049059759,0.0036265428976894887,0.0009148285241157295,-0.0015878265424181803,True,381
family_22ce6dcdaaacc1b3,control,0.02030797083372443,0.0052934773016887204,-0.004502865329954087,0.007032860935153022,False,383
family_7a299533cf0677c1,control,0.02050816688258006,-0.003124035294639227,-0.015362242145413818,0.0006739631475090047,False,384
family_ca2717eac3411b29,control,0.0023730712055798353,-0.007259001355141459,-0.011120066082426106,-0.005335332077329243,True,389
family_8ccf630c818a7c69,control,-0.008366371184527543,0.04103518411826956,0.0408711223335253,0.024513311755755773,False,390
family_e92e73cc15be90fc,control,-0.011627235817665671,-0.03269577713128391,-0.004379482758634756,-0.016234165235861447,True,391
family_7a51865c49a891df,control,0.009866669911182735,-0.0016680705193295453,-0.012568344974477952,-0.0014565818608749208,True,394
family_42c8e9672e12c968,control,-0.007065654941158739,-0.005368696943436557,0.007899317939551953,-0.0015116779816811143,True,397
family_ca6161b56d80cab2,control,0.010826227173104996,0.00025130047664778665,-0.018307790507525623,-0.0024100876192576135,True,398
family_176e7f37ba5c58aa,control,0.01797608916576099,-0.014003362524919183,-0.020816914237267392,-0.005614729198808528,True,402
family_e166239f4cce0cbc,control,0.005065158609378395,-0.005057710201820331,-0.03357943404903363,-0.011190661880491856,True,403
family_42a2837394ab47d1,control,0.005419645659108241,-0.004807984902439499,-0.00549309237060569,-0.001627143871312316,True,405
family_48b38ab68cade6ec,control,0.005155567649149928,-0.011547451929801889,0.006381731626768805,-3.3842179610517795e-06,True,407
