key,model,metric,family,n_families,raw_p,domain_holm_p,global_holm_p,mean_effect,ci95_low,ci95_high
conditional_vae|duration_jsd_to_receiver|same_minus_unrelated,conditional_vae,duration_jsd_to_receiver,rhythm,100,0.286971302869713,1.0,1.0,0.0033860636771708913,-0.002947804598574137,0.00972183145657422
transformer_l|duration_jsd_to_receiver|same_minus_unrelated,transformer_l,duration_jsd_to_receiver,rhythm,100,0.07439256074392561,1.0,1.0,-0.007312348735425995,-0.015660398641674986,0.0006777199564059493
conditional_vae|duration_entropy|same_minus_unrelated,conditional_vae,duration_entropy,rhythm,100,0.9563043695630437,1.0,1.0,-0.0011273963159259624,-0.03582516773072744,0.03326081224313168
transformer_l|duration_entropy|same_minus_unrelated,transformer_l,duration_entropy,rhythm,100,0.5887411258874112,1.0,1.0,-0.009204911767516501,-0.04177840694549121,0.0224596221527412
conditional_vae|onset_pattern_entropy|same_minus_unrelated,conditional_vae,onset_pattern_entropy,rhythm,100,0.7577242275772422,1.0,1.0,0.004494986863055983,-0.023967790565057167,0.032714863876676374
transformer_l|onset_pattern_entropy|same_minus_unrelated,transformer_l,onset_pattern_entropy,rhythm,100,0.8937106289371063,1.0,1.0,-0.0017957904946588276,-0.02724625014473358,0.02390226274670329
conditional_vae|rhythmic_density|same_minus_unrelated,conditional_vae,rhythmic_density,rhythm,100,0.7451254874512548,1.0,1.0,-0.051009712074418095,-0.357920630039895,0.25749222222222196
transformer_l|rhythmic_density|same_minus_unrelated,transformer_l,rhythmic_density,rhythm,100,0.6027397260273972,1.0,1.0,0.0809898328824025,-0.2265693573841018,0.37800355465369384
conditional_vae|pitch_class_entropy|same_minus_unrelated,conditional_vae,pitch_class_entropy,tonal,100,0.37496250374962503,1.0,1.0,-0.014186719879482891,-0.04765088835809245,0.015153814571075277
transformer_l|pitch_class_entropy|same_minus_unrelated,transformer_l,pitch_class_entropy,tonal,100,0.8713128687131287,1.0,1.0,-0.0019861445975953985,-0.029047248181302346,0.02436691519106761
conditional_vae|pitch_class_histogram_jsd_to_receiver|same_minus_unrelated,conditional_vae,pitch_class_histogram_jsd_to_receiver,tonal,100,0.7319268073192681,1.0,1.0,-0.0012167131043246792,-0.0083219712601359,0.005829883943530388
transformer_l|pitch_class_histogram_jsd_to_receiver|same_minus_unrelated,transformer_l,pitch_class_histogram_jsd_to_receiver,tonal,100,0.00019998000199980003,0.0035996400359964006,0.016798320167983202,-0.028544026255266027,-0.03914531974963987,-0.018672519359994564
conditional_vae|scale_consistency|same_minus_unrelated,conditional_vae,scale_consistency,tonal,100,0.29077092290770923,1.0,1.0,0.002195157536037219,-0.0017283985201805394,0.006609733079548535
transformer_l|scale_consistency|same_minus_unrelated,transformer_l,scale_consistency,tonal,100,0.3721627837216278,1.0,1.0,0.002124869735739303,-0.002499084827410905,0.006793338334773113
conditional_vae|pitch_interval_mean|same_minus_unrelated,conditional_vae,pitch_interval_mean,tonal,100,0.39936006399360063,1.0,1.0,0.020742703958893882,-0.025939155508041465,0.06681161181671097
transformer_l|pitch_interval_mean|same_minus_unrelated,transformer_l,pitch_interval_mean,tonal,100,0.255974402559744,1.0,1.0,-0.026475467764712626,-0.07424842626956707,0.020889010778224314
conditional_vae|pitch_interval_variance|same_minus_unrelated,conditional_vae,pitch_interval_variance,tonal,100,0.34796520347965204,1.0,1.0,-24.91793733496828,-80.34553453949309,7.084396677063564
transformer_l|pitch_interval_variance|same_minus_unrelated,transformer_l,pitch_interval_variance,tonal,100,0.7393260673932607,1.0,1.0,1.808030047966521,-7.215576740623305,12.014927222436928
conditional_vae|pitch_interval_jsd_to_receiver|same_minus_unrelated,conditional_vae,pitch_interval_jsd_to_receiver,tonal,100,0.1401859814018598,1.0,1.0,-0.0053313025178374175,-0.011916462766728267,0.0017133087618500117
transformer_l|pitch_interval_jsd_to_receiver|same_minus_unrelated,transformer_l,pitch_interval_jsd_to_receiver,tonal,100,0.00019998000199980003,0.0035996400359964006,0.016798320167983202,-0.027211489578421188,-0.03671795780918241,-0.01790695967830103
conditional_vae|pitch_range|same_minus_unrelated,conditional_vae,pitch_range,tonal,100,0.19218078192180782,1.0,1.0,-0.6326666666666666,-1.8200333333333336,0.24268333333333295
transformer_l|pitch_range|same_minus_unrelated,transformer_l,pitch_range,tonal,100,0.34236576342365765,1.0,1.0,0.2886666666666668,-0.28934999999999994,0.9046666666666665
conditional_vae|used_pitch_classes|same_minus_unrelated,conditional_vae,used_pitch_classes,tonal,100,0.5583441655834417,1.0,1.0,-0.03333333333333332,-0.14866666666666667,0.07533333333333334
transformer_l|used_pitch_classes|same_minus_unrelated,transformer_l,used_pitch_classes,tonal,100,0.4163583641635836,1.0,1.0,-0.04333333333333332,-0.14868333333333336,0.058666666666666686
conditional_vae|tonal_key_consistency|same_minus_unrelated,conditional_vae,tonal_key_consistency,tonal,100,0.2967703229677032,1.0,1.0,0.002195157536037219,-0.0017268449243992299,0.00633886413333033
transformer_l|tonal_key_consistency|same_minus_unrelated,transformer_l,tonal_key_consistency,tonal,100,0.3675632436756324,1.0,1.0,0.002124869735739303,-0.0025491500624979005,0.006933209717416216
conditional_vae|note_density|same_minus_unrelated,conditional_vae,note_density,surface_sanity,100,0.7467253274672533,1.0,1.0,-0.051009712074418095,-0.3607858728417551,0.2564810862829977
transformer_l|note_density|same_minus_unrelated,transformer_l,note_density,surface_sanity,100,0.5969403059694031,1.0,1.0,0.0809898328824025,-0.2260434133905884,0.3813547056254717
conditional_vae|polyphony|same_minus_unrelated,conditional_vae,polyphony,surface_sanity,100,0.9669033096690332,1.0,1.0,-0.0052558373617130226,-0.17013904063098875,0.15484456684761985
transformer_l|polyphony|same_minus_unrelated,transformer_l,polyphony,surface_sanity,100,0.145985401459854,1.0,1.0,0.053859695714390136,-0.018139927383000944,0.12857420262108474
conditional_vae|polyphony_rate|same_minus_unrelated,conditional_vae,polyphony_rate,surface_sanity,100,0.8881111888811118,1.0,1.0,-0.000915520328671498,-0.012641702006215593,0.010467262088068698
transformer_l|polyphony_rate|same_minus_unrelated,transformer_l,polyphony_rate,surface_sanity,100,0.415958404159584,1.0,1.0,0.0050241207840683,-0.006863080850698192,0.01651176318311718
conditional_vae|empty_beat_rate|same_minus_unrelated,conditional_vae,empty_beat_rate,surface_sanity,100,0.9993000699930007,1.0,1.0,4.733905048339537e-05,-0.0069617734121850796,0.007187624448484303
transformer_l|empty_beat_rate|same_minus_unrelated,transformer_l,empty_beat_rate,surface_sanity,100,0.8783121687831217,1.0,1.0,0.0005945526065495116,-0.007241033675789869,0.008484756944444435
conditional_vae|empty_measure_rate|same_minus_unrelated,conditional_vae,empty_measure_rate,surface_sanity,100,0.7269273072692731,1.0,1.0,-0.0009673615972377586,-0.006522917152793312,0.004344704848957942
transformer_l|empty_measure_rate|same_minus_unrelated,transformer_l,empty_measure_rate,surface_sanity,100,0.46895310468953105,1.0,1.0,-0.0017743034055727558,-0.00676735466116271,0.003124051427588543
conditional_vae|qualified_note_ratio|same_minus_unrelated,conditional_vae,qualified_note_ratio,surface_sanity,100,0.9899010098990101,1.0,1.0,5.725752508361326e-05,-0.00258979487179488,0.0028762642140468153
transformer_l|qualified_note_ratio|same_minus_unrelated,transformer_l,qualified_note_ratio,surface_sanity,100,0.44495550444955506,1.0,1.0,0.000863284123284116,-0.0016165677285677363,0.0029967777130277006
conditional_vae|average_note_duration|same_minus_unrelated,conditional_vae,average_note_duration,surface_sanity,100,0.38036196380361964,1.0,1.0,-0.07440348393630886,-0.23754672580944494,0.0852815654892995
transformer_l|average_note_duration|same_minus_unrelated,transformer_l,average_note_duration,surface_sanity,100,0.9561043895610439,1.0,1.0,-0.0015817390172034916,-0.21575182853628974,0.17433905201103325
conditional_vae|duration_variance|same_minus_unrelated,conditional_vae,duration_variance,surface_sanity,100,0.09919008099190081,1.0,1.0,-2.3216961923617614,-5.463447572985904,0.39675130080927506
transformer_l|duration_variance|same_minus_unrelated,transformer_l,duration_variance,surface_sanity,100,0.9525047495250475,1.0,1.0,0.16238417861457882,-2.8371428380999215,3.4702953805539236
conditional_vae|notes_per_bar|same_minus_unrelated,conditional_vae,notes_per_bar,surface_sanity,100,0.7613238676132387,1.0,1.0,-0.051009712074418095,-0.3568727777777778,0.2603799999999997
transformer_l|notes_per_bar|same_minus_unrelated,transformer_l,notes_per_bar,surface_sanity,100,0.5865413458654135,1.0,1.0,0.0809898328824025,-0.21764499999999992,0.390643975949231
conditional_vae|onset_density|same_minus_unrelated,conditional_vae,onset_density,surface_sanity,100,0.9905009499050095,1.0,1.0,-4.7339050483398984e-05,-0.007044461805555555,0.006981267361111113
transformer_l|onset_density|same_minus_unrelated,transformer_l,onset_density,surface_sanity,100,0.8799120087991201,1.0,1.0,-0.0005945526065495107,-0.008357417189882841,0.007596467703567645
conditional_vae|density_wasserstein|same_minus_unrelated,conditional_vae,density_wasserstein,distributional,100,0.31916808319168083,1.0,1.0,-0.1346720792079207,-0.39941576567656745,0.13083299009901
transformer_l|density_wasserstein|same_minus_unrelated,transformer_l,density_wasserstein,distributional,100,0.5889411058894111,1.0,1.0,-0.06284514851485136,-0.28419576237623745,0.15677528052805287
conditional_vae|ioi_wasserstein|same_minus_unrelated,conditional_vae,ioi_wasserstein,distributional,100,0.3611638836116388,1.0,1.0,-0.012075844425101859,-0.038695164662894854,0.012913078792357256
transformer_l|ioi_wasserstein|same_minus_unrelated,transformer_l,ioi_wasserstein,distributional,100,0.0033996600339966003,0.027197280271972803,0.27877212278772123,-0.07641030645921734,-0.14668563861386139,-0.02157159618104672
conditional_vae|duration_wasserstein|same_minus_unrelated,conditional_vae,duration_wasserstein,distributional,100,0.9219078092190781,1.0,1.0,-0.009402178217821744,-0.1436304603960394,0.11740744554455439
transformer_l|duration_wasserstein|same_minus_unrelated,transformer_l,duration_wasserstein,distributional,100,0.21597840215978403,1.0,1.0,-0.09479478547854792,-0.27828288118811884,0.03517895544554457
conditional_vae|pitch_interval_wasserstein|same_minus_unrelated,conditional_vae,pitch_interval_wasserstein,distributional,100,0.7213278672132787,1.0,1.0,-0.10042409240924087,-0.5380774686468649,0.18791192409240923
transformer_l|pitch_interval_wasserstein|same_minus_unrelated,transformer_l,pitch_interval_wasserstein,distributional,100,0.12258774122587741,0.8581141885811419,1.0,-0.09567782178217817,-0.2144699290429043,0.025489305280528
